gen,best_default,mean_default,std_default
0,86.49289246928255,62.56351009628021,17.176916801164857
1,86.49289246928255,70.5350765078314,9.134192654693
2,86.49289246928255,71.21038526086927,10.965831956652757
3,86.55289246928255,72.24102186566091,11.019164002982391
4,86.55289246928255,72.98702062540966,12.55574146593689
5,87.33289246928256,70.35433914904932,13.948933253543984
6,87.33289246928256,72.71359951594621,12.571465786183104
7,87.33289246928256,73.2776049098252,11.66946387870937
8,87.75289246928256,73.40922917197393,10.969824687095102
9,87.81289246928256,74.03331926930272,10.62828718493822
10,87.87289246928256,71.38976342687647,10.746154956186585
11,88.11289246928256,72.58706820929345,12.206899550819193
12,88.11289246928256,73.1089193059521,11.935920936749508
13,88.17289246928256,73.98216511996804,14.574669549481891
14,88.29289246928256,75.5900536169948,11.9818123790139
15,88.29289246928256,77.00525473899833,11.48417929632653
16,88.29289246928256,76.83306379921731,11.367319400974988
17,88.29289246928256,76.65708246330335,12.882546951154485
18,88.29289246928256,77.11990185404925,13.511873464868724
19,88.47289246928256,78.24473900252853,11.771194072035334
20,88.47289246928256,77.7270566506892,11.893155717942276
21,88.83289246928257,74.79411193439499,12.582205507000776
22,88.83289246928257,76.3042625575768,12.582199952046658
23,88.83289246928257,75.37654348710055,12.81762847112722
24,88.83289246928257,74.68953362800983,12.843612065690586
25,88.83289246928257,74.29111973849497,12.113240852647197
26,88.83289246928257,75.03737104094738,12.74190537129004
27,88.83289246928257,75.09104875216414,11.867021805025892
28,88.83289246928257,75.13761486896723,11.496817031935644
29,88.83289246928257,74.45512656696309,15.175497803027616
