gen,best,mean,std,best_log,mean_log,std_log
0,93.40956741322128,25.43972557510567,37.88394955642179,93.40956741322128,25.43972557510567,37.88394955642179
1,93.40956741322128,49.85385635141748,38.479366971750736,93.40956741322128,49.85385635141748,38.479366971750736
2,93.40956741322128,74.51246787066411,24.28216736031062,93.40956741322128,74.51246787066411,24.28216736031062
3,93.40956741322128,85.36946924265742,12.9243283342965,93.40956741322128,85.36946924265742,12.9243283342965
4,93.40956741322128,89.77963847223783,4.549095068179291,93.40956741322128,89.77963847223783,4.549095068179291
5,93.40956741322128,89.25486397002238,11.067218583933178,93.40956741322128,89.25486397002238,11.067218583933178
6,93.40956741322128,91.16179180161473,3.9535117107052185,93.40956741322128,91.16179180161473,3.9535117107052185
7,93.40956741322128,91.8933104411346,2.88152439793023,93.40956741322128,91.8933104411346,2.88152439793023
8,93.40956741322128,91.61270553442992,3.737524631947633,93.40956741322128,91.61270553442992,3.737524631947633
9,93.40956741322128,90.64993492186233,11.235941514082205,93.40956741322128,90.64993492186233,11.235941514082205
10,93.40956741322128,91.10393578155356,10.419191887436575,93.40956741322128,91.10393578155356,10.419191887436575
11,93.40956741322128,91.63656865105486,6.0300651830330505,93.40956741322128,91.63656865105486,6.0300651830330505
12,93.40956741322128,90.76425493490044,7.226153468356494,93.40956741322128,90.76425493490044,7.226153468356494
13,93.40956741322128,92.49146150871093,1.5703874808568554,93.40956741322128,92.49146150871093,1.5703874808568554
14,93.40956741322128,91.78778395915876,3.485527713032763,93.40956741322128,91.78778395915876,3.485527713032763
15,93.40956741322128,91.11590800215296,10.127290346385712,93.40956741322128,91.11590800215296,10.127290346385712
16,93.40956741322128,91.4879418155636,3.874968075520104,93.40956741322128,91.4879418155636,3.874968075520104
17,93.40956741322128,90.92651279555147,6.785265067806147,93.40956741322128,90.92651279555147,6.785265067806147
18,93.40956741322128,91.32321260777664,5.893335948771716,93.40956741322128,91.32321260777664,5.893335948771716
19,93.40956741322128,90.04803133671227,11.523076390931086,93.40956741322128,90.04803133671227,11.523076390931086
20,93.40956741322128,91.35953467039984,5.445953013046946,93.40956741322128,91.35953467039984,5.445953013046946
21,93.40956741322128,90.96073629088504,7.945525737066632,93.40956741322128,90.96073629088504,7.945525737066632
22,93.40956741322128,91.21989296134014,7.216650555239315,93.40956741322128,91.21989296134014,7.216650555239315
23,93.40956741322128,90.3916380477484,12.045233915805102,93.40956741322128,90.3916380477484,12.045233915805102
24,93.40956741322128,91.55055567905411,5.152178581412918,93.40956741322128,91.55055567905411,5.152178581412918
25,93.40956741322128,91.4626623034226,5.208127352719601,93.40956741322128,91.4626623034226,5.208127352719601
26,93.40956741322128,91.23485628758812,6.07578206786563,93.40956741322128,91.23485628758812,6.07578206786563
27,93.40956741322128,92.39219899437964,1.5557583537756292,93.40956741322128,92.39219899437964,1.5557583537756292
28,93.40956741322128,91.93847366163124,4.901969134970979,93.40956741322128,91.93847366163124,4.901969134970979
29,93.40956741322127,90.34498333676531,13.919922793915656,93.40956741322127,90.34498333676531,13.919922793915656
