generation,max,mean,q5,q95,min
0.0,21.906249799193237,-3.348076759197093,-6.146436209581337,4.009567413221264,-6.655440350367647
1.0,21.906249799193237,-0.3790050973248115,-5.176149732573829,20.5127245460439,-5.176149732573829
2.0,87.02168263345199,7.066873168022658,-4.624972813284271,22.332903227682774,-4.624972813284271
3.0,87.02168263345199,14.72389826508347,3.918595635015537,39.43368761366324,3.8880122116434563
4.0,87.02168263345199,23.05555576949118,4.009567413221264,40.020756181711214,4.009567413221264
5.0,87.02168263345199,28.496105825046758,21.852505523186547,48.88958684222873,21.812614194159245
6.0,87.02168263345199,32.365652185970724,21.906249799193237,57.12484789061698,21.906249799193237
7.0,87.02168263345199,37.28635416216502,21.906249799193237,57.562577155648896,21.906249799193237
8.0,87.02168263345199,43.782402365169446,30.50062700871353,66.16123282877516,30.435479592677307
9.0,87.02168263345199,47.4893962191437,30.737309811095116,75.23225829826612,30.65289246928253
10.0,87.02168263345199,50.28529581923186,39.33965420491494,75.36994953044936,39.19788162462294
11.0,87.02168263345199,52.54311538295733,39.51520306650934,75.36994953044936,39.47853908213776
12.0,87.02168263345199,54.68153961066622,39.676990020861595,75.36994953044936,39.629361971872335
13.0,87.02168263345199,55.65914841922236,39.784793239017546,75.36994953044936,39.711732969305466
14.0,87.02168263345199,57.988853100886566,48.29272389761982,75.53667761877587,48.23167900420623
15.0,87.02168263345199,59.46335065750239,48.44589093916715,76.18300490327427,48.3978811791203
16.0,87.02168263345199,61.474575567528035,48.56170377099688,85.23809722448179,48.52772932632851
17.0,87.02168263345199,62.26653911490919,48.6709247329761,85.23809722448179,48.6109282701835
18.0,87.02168263345199,63.429307313298224,56.830389267508544,85.30046410402409,48.706695175275506
19.0,87.02168263345199,64.43357952584368,57.105597165735134,85.38299595361957,56.830389267508544
20.0,87.02168263345199,65.47884174805996,57.282644428566456,85.96805365823731,57.10835578817423
21.0,87.33679627126203,66.06588291785077,57.408641270564765,86.26015890991633,57.30964054567594
22.0,88.65282822853992,67.47492003960679,57.49466846406764,86.35703951986407,57.43931836898447
23.0,88.65282822853992,68.10221236775136,57.51936107665801,86.35703951986407,57.49466846406764
24.0,88.65282822853992,69.14245810033887,57.56627799644576,86.81598249381268,57.53616819497439
25.0,88.65282822853992,70.22165457343705,57.62426075956059,86.81598249381268,57.579465000727716
26.0,88.65282822853992,71.59094335574284,57.71654310616419,86.82498249381268,57.676990020861595
27.0,88.65282822853992,72.29754061258896,66.0367272693778,86.82498249381268,57.71679627126201
28.0,88.65282822853992,73.04691024258963,66.11112204166712,86.82498249381268,66.04157530697022
29.0,88.65282822853992,73.56647794948333,66.11112204166712,87.02852545588628,66.11112204166712
30.0,88.65282822853992,74.88533090585443,66.19096462914956,87.16419877649616,66.11112204166712
