generation,max,mean,q5,q95,min
0.0,21.906249799193237,-1.7302822527423074,-5.8416152966576895,13.260613510429652,-6.049733455231958
1.0,21.906249799193237,2.898154645162631,-4.624972813284271,17.3307661316118,-4.624972813284271
2.0,21.906249799193237,5.97094128513658,-1.815410899834367,17.3307661316118,-4.624972813284271
3.0,21.906249799193237,8.090950613085402,3.5989231298383717,17.853497497035377,3.592828228539881
4.0,38.614805601002274,17.849210919605326,4.083845349294968,34.631776764959575,3.9437541946516923
5.0,38.614805601002274,21.336472619189543,11.638931650498021,34.631776764959575,11.557459833531802
6.0,47.74233241211735,26.946451701726858,21.906249799193237,43.634945347115554,21.906249799193237
7.0,56.699214205336744,30.425748142341206,21.906249799193237,52.66861739838801,21.906249799193237
8.0,56.699214205336744,32.786975223975425,21.906249799193237,52.66861739838801,21.906249799193237
9.0,56.699214205336744,34.394521049478286,25.375099910007304,52.66861739838801,21.906249799193237
10.0,56.699214205336744,37.91822153233584,29.762555140636604,52.66861739838801,29.761675374960493
11.0,56.699214205336744,39.75097433043574,29.830948098277425,52.82470932311696,29.763630409796296
12.0,56.699214205336744,42.354101778432195,30.091687306310018,52.82470932311696,29.943215986771374
13.0,57.31982739098293,45.10992994916412,34.12681492598726,57.04055145744215,30.454822555520437
14.0,57.31982739098293,45.976394394972004,38.68977302668997,57.04055145744215,38.614805601002274
15.0,87.33791509328336,53.54499035199395,39.111838597274016,77.6207657825168,39.10559716573515
16.0,87.33791509328336,53.54499035199395,39.111838597274016,77.6207657825168,39.10559716573515
17.0,87.33791509328336,57.955246992776054,47.1241166443594,77.6207657825168,46.92673028254029
18.0,87.33791509328336,60.78841863438655,47.898424336846304,77.6428941342796,47.74233241211735
19.0,87.33791509328336,60.78841863438655,47.898424336846304,77.6428941342796,47.74233241211735
20.0,87.33791509328336,66.22866980892431,56.75077393217999,85.99530852088832,56.699214205336744
21.0,88.13070245107066,69.37181863349771,56.821260427233575,87.77394814006637,56.81379137609951
22.0,88.13070245107066,69.37181863349771,56.821260427233575,87.77394814006637,56.81379137609951
23.0,88.13070245107066,69.37181863349771,56.821260427233575,87.77394814006637,56.81379137609951
24.0,88.13070245107066,69.37181863349771,56.821260427233575,87.77394814006637,56.81379137609951
25.0,88.13070245107066,72.08299581077772,57.05063642307202,87.77394814006637,56.830389267508544
26.0,88.13070245107066,74.82548484614969,61.00713271001577,87.77394814006637,57.31982739098293
27.0,88.13070245107066,76.46979620443892,65.61752404729174,87.77394814006637,65.51383921105591
28.0,88.13070245107066,78.46399880271382,65.76637831000943,87.77394814006637,65.74424995824663
29.0,88.13070245107066,78.46399880271382,65.76637831000943,87.77394814006637,65.74424995824663
30.0,88.13070245107066,80.60960960287608,65.83224940177337,87.77394814006637,65.79342407327508
