gen,best_defensive,mean_defensive,std_defensive,best_default,mean_default,std_default
0,-0.579729825986222,-4.753192678210999,1.037273308156036,39.424050896853686,-1.3906246580129955,8.629096987275831
1,10.675982493812873,-3.9914511844333846,2.3984501116118304,85.07959913428287,3.819369220569257,15.87173395282889
2,20.89357331188777,-3.005300966522886,4.31211528623262,86.17703951986407,10.350606288264878,21.97379791269465
3,33.986610511272715,-0.2862978534805971,6.871997108678031,87.75057091248861,28.80028913564369,28.230356545123545
4,33.986610511272715,0.8606093377596247,7.500779526503514,87.75057091248861,36.89249679843305,27.42883112883287
5,33.986610511272715,1.244797320281139,7.593135238521382,87.75057091248861,39.823647182546665,28.59233932301829
6,33.986610511272715,1.999049387833284,8.82067703990106,87.75057091248861,41.333107356637456,31.040331639483256
7,33.986610511272715,3.680145004253797,9.969617679788666,87.75057091248861,48.58354098639838,27.58194381608361
8,35.84669517527575,4.876927831681065,10.396768893835349,88.17173296930548,54.57384630033575,24.801737387369894
9,35.84669517527575,4.390270253919993,11.026198102197672,88.17173296930548,48.954563787997714,28.26913959772781
10,35.84669517527575,3.673142710686156,11.692073704701585,88.17173296930548,41.67587411640709,33.2329467384299
11,37.04297229859402,5.556348658078552,11.6814167426687,87.92626719449066,53.40684059169902,26.153968561681832
12,37.04297229859402,5.755206913347878,12.435473561357655,87.92626719449066,49.90186534904851,30.347607530922748
13,37.04297229859402,5.620364254649537,12.5416886619732,87.92626719449066,48.64387991458764,32.82369530864961
14,37.04297229859402,6.459813754849206,12.420422017062393,87.92626719449066,55.3631081641344,27.122154395286127
15,37.04297229859402,6.046894382436432,13.106781783739075,87.92626719449066,49.00465812937011,32.27828237474382
16,37.04297229859402,5.914771204176193,12.9524588101805,87.92626719449066,50.20997705091486,30.917744129742875
17,37.04297229859402,7.028500111160322,13.22712330765231,87.92626719449066,53.99576598838212,29.23757612128105
18,37.04297229859402,6.472014243126511,13.903605551910816,87.92626719449066,47.31149335930981,33.70324915119679
19,38.48814186652419,8.302394457702066,14.40648069714583,88.41289246928257,53.90018570178996,32.27354333317792
20,38.48814186652419,9.257820357752731,14.59374067043937,88.41289246928257,56.83313453166608,29.57833699402964
21,38.48814186652419,11.277341943609166,14.169847608106275,88.41289246928257,66.29739178329146,23.268786320005773
22,38.48814186652419,12.343580763906246,14.34024920346878,88.41289246928257,66.94438153100359,25.851412507826467
23,38.48814186652419,11.754703878550908,15.272330528774956,88.41289246928257,60.3462065079759,32.26140487912586
24,38.48814186652419,12.71598544257507,15.1635562035474,88.41289246928257,64.52977690823558,27.73260233351499
25,41.54661051127274,14.824541476505022,15.147691588176391,88.59057091248862,70.60778565551678,21.21851937184486
26,41.54661051127274,14.65401870783479,15.766597113630247,88.59057091248862,67.29965238593265,26.863167087171668
27,41.54661051127274,13.42002499514794,15.4810744625233,88.59057091248862,66.0177218974622,25.79596888806396
28,41.54661051127274,13.646001160552874,15.949184197308824,88.59057091248862,65.5667864293236,25.21097326890778
29,41.54661051127274,13.537248398602216,16.245003872542213,88.59057091248862,62.56218344375667,28.646134301822965
