gen,best,mean,std,best_log,mean_log,std_log
0,30.561920691076804,5.055491796860343,10.393683323734304,30.561920691076804,5.055491796860343,10.393683323734304
1,39.424050896853686,13.28769961832019,10.00456104081507,39.424050896853686,13.28769961832019,10.00456104081507
2,39.424050896853686,18.05829004442875,8.10401416130251,39.424050896853686,18.05829004442875,8.10401416130251
3,73.97446168536148,21.46758187919029,10.030521627032536,73.97446168536148,21.46758187919029,10.030521627032536
4,73.97446168536148,22.704776335405946,11.513935228240056,73.97446168536148,22.704776335405946,11.513935228240056
5,85.7825019464308,23.80426954386517,14.986213817487178,85.7825019464308,23.80426954386517,14.986213817487178
6,88.88064962889993,25.67250676233207,16.617185310284704,88.88064962889993,25.67250676233207,16.617185310284704
7,88.88064962889993,29.25862751792355,18.22752101464546,88.88064962889993,29.25862751792355,18.22752101464546
8,89.9959127917705,36.97142052000828,23.75579038582653,89.9959127917705,36.97142052000828,23.75579038582653
9,89.9959127917705,45.85633362980667,24.490840467600687,89.9959127917705,45.85633362980667,24.490840467600687
10,89.9959127917705,50.15118894378292,25.499157477915,89.9959127917705,50.15118894378292,25.499157477915
11,89.9959127917705,52.40710773955744,24.74101084863462,89.9959127917705,52.40710773955744,24.74101084863462
12,89.9959127917705,55.40355318040602,24.05045593100116,89.9959127917705,55.40355318040602,24.05045593100116
13,89.9959127917705,59.65247438864535,21.60124163211388,89.9959127917705,59.65247438864535,21.60124163211388
14,89.9959127917705,62.4690197391082,20.493349734911263,89.9959127917705,62.4690197391082,20.493349734911263
15,89.9959127917705,66.63086556226092,15.654897552966776,89.9959127917705,66.63086556226092,15.654897552966776
16,89.9959127917705,62.23319266192394,21.603140447844847,89.9959127917705,62.23319266192394,21.603140447844847
17,89.9959127917705,63.94791825667924,19.52090401095856,89.9959127917705,63.94791825667924,19.52090401095856
18,89.9959127917705,61.00813060310641,22.173987907777583,89.9959127917705,61.00813060310641,22.173987907777583
19,89.9959127917705,61.195829687593374,22.662988591955504,89.9959127917705,61.195829687593374,22.662988591955504
20,89.9959127917705,64.32795114261242,19.645107935504765,89.9959127917705,64.32795114261242,19.645107935504765
21,89.9959127917705,67.14592769385241,18.398611804873905,89.9959127917705,67.14592769385241,18.398611804873905
22,89.9959127917705,67.54112306724112,16.692012120688435,89.9959127917705,67.54112306724112,16.692012120688435
23,89.9959127917705,66.8072295239706,16.33557604666649,89.9959127917705,66.8072295239706,16.33557604666649
24,89.9959127917705,64.92044137447138,19.2116111907206,89.9959127917705,64.92044137447138,19.2116111907206
25,89.9959127917705,66.54474029161804,18.821745301289056,89.9959127917705,66.54474029161804,18.821745301289056
26,89.9959127917705,66.47847664949963,21.083390432556584,89.9959127917705,66.47847664949963,21.083390432556584
27,89.9959127917705,64.47592236479687,22.796549055558987,89.9959127917705,64.47592236479687,22.796549055558987
28,89.9959127917705,63.367530177271775,22.754653591082576,89.9959127917705,63.367530177271775,22.754653591082576
29,89.9959127917705,66.28480071332093,20.671509083826763,89.9959127917705,66.28480071332093,20.671509083826763
