,generation,pfit,run
0,0,-5.176149732573829,1
1,0,-4.624972813284271,1
2,0,-4.836281906951478,1
3,0,-4.852030263919617,1
4,0,-5.1298987149230735,1
5,0,-6.146329257668899,1
6,0,2.746171188424527,1
7,0,-5.9839362806871925,1
8,0,21.906249799193237,1
9,0,-5.176149732573829,1
10,0,-6.186208623900494,1
11,0,-5.62040086571715,1
12,0,-5.176149732573829,1
13,0,-4.8283137373023015,1
14,0,-5.365976015021851,1
15,0,-6.1779441140506,1
16,0,-5.1298987149230735,1
17,0,3.2764148980476193,1
18,0,-4.624972813284271,1
19,0,4.009567413221264,1
20,0,-4.804021044733257,1
21,0,-4.624972813284271,1
22,0,-4.804021044733257,1
23,0,4.009567413221264,1
24,0,-4.820281565605037,1
25,0,-5.176149732573829,1
26,0,3.615504937210911,1
27,0,-6.238324625039508,1
28,0,4.002787726235885,1
29,0,-5.176149732573829,1
30,0,-5.8805329864007,1
31,0,-5.231108616854587,1
32,0,-6.148468295917649,1
33,0,3.9124036647676164,1
34,0,-6.146329257668899,1
35,0,-5.176149732573829,1
36,0,-4.624972813284271,1
37,0,-5.176149732573829,1
38,0,-5.3612921657094255,1
39,0,-4.624972813284271,1
40,0,-5.231108616854587,1
41,0,-5.117993812416755,1
42,0,-6.09807428216624,1
43,0,-5.176149732573829,1
44,0,-4.990432586778736,1
45,0,-5.176149732573829,1
46,0,-4.859812404361672,1
47,0,-5.176149732573829,1
48,0,-6.142037405587356,1
49,0,-4.9344739331306915,1
50,0,-5.303304908059076,1
51,0,-5.5093883366279774,1
52,0,-4.890349128221754,1
53,0,-5.159055299214529,1
54,0,-6.148468295917649,1
55,0,-5.730099782973574,1
56,0,-6.226536669287466,1
57,0,-5.117993812416755,1
58,0,-5.1647859739235145,1
59,0,-5.10594547390058,1
60,0,-4.624972813284271,1
61,0,-5.209486152841421,1
62,0,12.498741789455273,1
63,0,-5.176149732573829,1
64,0,-6.148468295917649,1
65,0,3.7905138471585786,1
66,0,-5.910796644040527,1
67,0,-5.236441962829949,1
68,0,12.900133572175797,1
69,0,-5.117993812416755,1
70,0,-5.37989735354046,1
71,0,-5.62040086571715,1
72,0,-5.176149732573829,1
73,0,-4.624972813284271,1
74,0,-4.624972813284271,1
75,0,2.260663372642826,1
76,0,-5.1647859739235145,1
77,0,-5.568344503761097,1
78,0,-6.148468295917649,1
79,0,-5.375278407684167,1
80,0,-4.672828834461906,1
81,0,30.482547103535293,1
82,0,-4.812184355372417,1
83,0,-5.5134287461649825,1
84,0,30.48657125383501,1
85,0,-5.5053315359323625,1
86,0,3.2764148980476193,1
87,0,-5.424950017481403,1
88,0,-6.184148890937483,1
89,0,-5.356586274672012,1
90,0,-5.808142489980444,1
91,0,-5.159055299214529,1
92,0,-5.945420608606575,1
93,0,-5.176149732573829,1
94,0,-5.7430031878094825,1
95,0,-5.176149732573829,1
96,0,-4.820281565605037,1
97,0,-5.3706380281276624,1
98,0,-5.84354441703136,1
99,0,-5.3706380281276624,1
100,1,75.35455310235676,1
101,1,37.50002345904788,1
102,1,30.737309811095116,1
103,1,30.48657125383501,1
104,1,30.482547103535293,1
105,1,21.918595635015535,1
106,1,21.906249799193237,1
107,1,13.009567413221264,1
108,1,12.900133572175797,1
109,1,12.888012211643456,1
110,1,12.6109282701835,1
111,1,12.498741789455273,1
112,1,12.45092391510478,1
113,1,12.27641489804762,1
114,1,11.89744140538643,1
115,1,4.109650871778246,1
116,1,4.009567413221264,1
117,1,4.009567413221264,1
118,1,4.009567413221264,1
119,1,4.009567413221264,1
120,1,4.009567413221264,1
121,1,4.009567413221264,1
122,1,4.002787726235885,1
123,1,4.002787726235885,1
124,1,3.9124036647676164,1
125,1,3.9001335721758013,1
126,1,3.7905138471585786,1
127,1,3.615504937210911,1
128,1,3.3795991342828504,1
129,1,3.3652103968307507,1
130,1,3.2764148980476193,1
131,1,3.2764148980476193,1
132,1,3.2764148980476193,1
133,1,3.2764148980476193,1
134,1,2.746171188424527,1
135,1,2.260663372642826,1
136,1,-4.624972813284271,1
137,1,-4.624972813284271,1
138,1,-4.624972813284271,1
139,1,-4.624972813284271,1
140,1,-4.624972813284271,1
141,1,-4.624972813284271,1
142,1,-4.624972813284271,1
143,1,-4.624972813284271,1
144,1,-4.624972813284271,1
145,1,-4.624972813284271,1
146,1,-4.624972813284271,1
147,1,-4.624972813284271,1
148,1,-4.624972813284271,1
149,1,-4.624972813284271,1
150,1,-4.624972813284271,1
151,1,-4.624972813284271,1
152,1,-4.624972813284271,1
153,1,-4.624972813284271,1
154,1,-4.624972813284271,1
155,1,-4.624972813284271,1
156,1,-4.624972813284271,1
157,1,-4.624972813284271,1
158,1,-4.624972813284271,1
159,1,-4.624972813284271,1
160,1,-4.624972813284271,1
161,1,-4.624972813284271,1
162,1,-4.653960350157523,1
163,1,-4.672828834461906,1
164,1,-4.74493212836325,1
165,1,-4.7535901911063645,1
166,1,-4.787491742782046,1
167,1,-4.804021044733257,1
168,1,-4.804021044733257,1
169,1,-4.812184355372417,1
170,1,-4.812184355372417,1
171,1,-4.820281565605037,1
172,1,-4.820281565605037,1
173,1,-4.820281565605037,1
174,1,-4.820281565605037,1
175,1,-4.820281565605037,1
176,1,-4.820281565605037,1
177,1,-4.820281565605037,1
178,1,-4.8283137373023015,1
179,1,-4.836281906951478,1
180,1,-4.852030263919617,1
181,1,-4.859812404361672,1
182,1,-4.882801922586371,1
183,1,-4.890349128221754,1
184,1,-4.90527477843843,1
185,1,-4.90527477843843,1
186,1,-4.912654885736052,1
187,1,-4.919980925828125,1
188,1,-4.927253685157205,1
189,1,-4.9344739331306915,1
190,1,-4.990432586778736,1
191,1,-5.017279836814924,1
192,1,-5.0369526024136295,1
193,1,-5.043425116919247,1
194,1,-5.10594547390058,1
195,1,-5.117993812416755,1
196,1,-5.117993812416755,1
197,1,-5.117993812416755,1
198,1,-5.117993812416755,1
199,1,-5.117993812416755,1
200,2,84.71353194306673,1
201,2,75.35455310235676,1
202,2,66.36164533066625,1
203,2,47.81998334634741,1
204,2,39.63402398497815,1
205,2,37.50002345904788,1
206,2,30.737309811095116,1
207,2,30.62936197187234,1
208,2,30.57065437104556,1
209,2,30.48657125383501,1
210,2,30.482547103535293,1
211,2,21.918595635015535,1
212,2,21.906249799193237,1
213,2,21.906249799193237,1
214,2,21.906249799193237,1
215,2,21.906249799193237,1
216,2,21.561920691076804,1
217,2,21.498741789455273,1
218,2,20.855814365874355,1
219,2,20.769518552421516,1
220,2,13.009567413221264,1
221,2,12.900133572175797,1
222,2,12.888012211643456,1
223,2,12.864201562949738,1
224,2,12.70168263345196,1
225,2,12.615504937210908,1
226,2,12.6109282701835,1
227,2,12.498741789455273,1
228,2,12.45092391510478,1
229,2,12.386871893611929,1
230,2,12.27641489804762,1
231,2,11.89744140538643,1
232,2,11.855814365874355,1
233,2,4.272612181287659,1
234,2,4.272612181287659,1
235,2,4.263801551605504,1
236,2,4.109650871778246,1
237,2,4.009567413221264,1
238,2,4.009567413221264,1
239,2,4.009567413221264,1
240,2,4.009567413221264,1
241,2,4.009567413221264,1
242,2,4.009567413221264,1
243,2,4.009567413221264,1
244,2,4.002787726235885,1
245,2,4.002787726235885,1
246,2,3.9761194791537235,1
247,2,3.9124036647676164,1
248,2,3.9001335721758013,1
249,2,3.840944700785471,1
250,2,3.795993312923205,1
251,2,3.7905138471585786,1
252,2,3.7635580371700508,1
253,2,3.681880006155784,1
254,2,3.6528924692825315,1
255,2,3.6387078342905745,1
256,2,3.615504937210911,1
257,2,3.4626657329814634,1
258,2,3.3795991342828504,1
259,2,3.3652103968307507,1
260,2,3.2895729826251294,1
261,2,3.2764148980476193,1
262,2,3.2764148980476193,1
263,2,3.2764148980476193,1
264,2,3.2764148980476193,1
265,2,3.2764148980476193,1
266,2,3.2764148980476193,1
267,2,3.2764148980476193,1
268,2,3.2764148980476193,1
269,2,3.2254484544555915,1
270,2,3.127882210524584,1
271,2,2.746171188424527,1
272,2,2.260663372642826,1
273,2,-4.624972813284271,1
274,2,-4.624972813284271,1
275,2,-4.624972813284271,1
276,2,-4.624972813284271,1
277,2,-4.624972813284271,1
278,2,-4.624972813284271,1
279,2,-4.624972813284271,1
280,2,-4.624972813284271,1
281,2,-4.624972813284271,1
282,2,-4.624972813284271,1
283,2,-4.624972813284271,1
284,2,-4.624972813284271,1
285,2,-4.624972813284271,1
286,2,-4.624972813284271,1
287,2,-4.624972813284271,1
288,2,-4.624972813284271,1
289,2,-4.624972813284271,1
290,2,-4.624972813284271,1
291,2,-4.624972813284271,1
292,2,-4.624972813284271,1
293,2,-4.624972813284271,1
294,2,-4.624972813284271,1
295,2,-4.624972813284271,1
296,2,-4.624972813284271,1
