gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced,best_default_explore,mean_default_explore,std_default_explore,Q5_default_explore,Q95_default_explore,best_balanced_explore,mean_balanced_explore,std_balanced_explore,Q5_balanced_explore,Q95_balanced_explore
0,20.753213736868496,-1.2434613076225556,7.600479972178167,-6.956303893398343,17.941717167052108,39.19400442660727,11.912212753408935,18.75839985813928,-11.558749445349864,37.90627880332063,16.500527970051373,-4.160866815925576,4.9689681594954695,-6.6043314701487725,7.4568185424834414,38.5601549199472,4.762615092886886,17.127691072844172,-10.650878016512102,33.95750882936548
1,21.858775732120208,5.481496629894796,10.04600568700448,-6.080166000491752,21.33408336652406,43.870987976354726,26.73401432614954,13.933138114201748,-5.227933854430605,38.85457285284773,22.88897974982353,-1.681236880292443,7.762100108150711,-6.452718068019721,15.257232485261914,38.5601549199472,9.299850898787415,17.364907113596317,-9.94015130871692,34.717467751597184
2,27.15430197489384,11.375653349447395,9.081034659372769,-3.519623919372713,22.24151202116937,43.870987976354726,32.421745152315374,7.083438085592965,24.728072013351003,38.5475727267832,22.88897974982353,-0.0648131099419028,8.845526483533108,-6.184127382375308,21.7010598191514,39.18057086901052,16.08094070613989,15.81887864081824,-6.847627260577084,35.46301413302648
3,27.15430197489384,17.41286444023975,5.669604392442039,7.644440498249573,25.93748504833497,38.88990123291842,34.9831779660102,2.8736274864735107,30.08634432565894,38.41509129240252,25.78268027980392,3.559674283369351,10.217725180334751,-5.99011937791363,22.88897974982353,39.18057086901052,21.94374254865028,14.429089311447282,-5.248076052405311,37.50537716262758
4,27.15430197489384,21.058706920908,2.596154333074796,18.030945722472605,26.694092420096435,38.45712739680895,34.86808277435821,2.421182171523243,32.90669786614887,38.13437956364815,25.78268027980392,10.600390973294704,10.56913471164628,-3.622183709761572,25.3198056023551,38.30370964043461,29.550080471522403,8.18882637034075,13.080104188727978,36.7348996324011
5,28.785236592128093,21.39657715964334,3.6654658274305496,18.171793726434604,27.15430197489384,38.21346492788707,34.96495133405097,2.051209382863838,33.01651674203626,38.0818977218081,27.09273173811668,16.38310303635783,8.042707196241166,1.2614794331463957,25.78268027980392,38.72267611667949,31.514759719288385,7.228363596709378,24.60082150018311,35.09981291282534
6,29.225390528937844,22.24647303090461,3.3053016608798007,18.35755959914203,28.785236592128093,38.46196101741354,35.061846240287416,2.218787356474261,32.49568743487766,38.21453169015536,27.09273173811668,20.36795838818517,4.673272776627344,12.82355632814648,26.678367812794047,38.10770621447002,33.81092505351424,1.50011332985867,32.06470261163331,36.15188779193479
7,30.158834537831613,23.51184859972037,3.505481778899952,17.34784498725535,29.032120774172657,39.05523592508527,35.738236027032265,2.3786690735215386,32.674050285832294,38.79444765548485,29.08770413145176,21.970049173556816,3.6849744929150856,14.699871581408964,27.09273173811668,42.58849033337098,34.50104604451109,2.197438718409596,32.34403776226532,37.33495449832027
8,30.158834537831613,23.477581375199705,4.110704087278235,15.202348496332531,29.032120774172657,40.155402795236974,36.22287433620523,2.2470339655785847,33.37877318491359,39.04042414086278,29.08770413145176,22.440633255104263,3.370286370774506,15.910316786276828,28.18801971445633,40.15089584754817,34.48912975848305,2.0525963275674872,32.348439178852864,37.44400325810664
9,30.158834537831613,24.630838389846183,3.489453608999724,19.683017849159786,29.74681698029015,39.76195033595244,36.46494300290949,2.307555779067584,33.26648920847924,39.022320849035296,29.08770413145176,22.791099265775024,4.097105584490161,16.344407538022004,27.204994702715773,38.72047009554606,34.698724774940416,1.998196128681566,32.753694110455605,38.13470727927753
10,31.16873681587612,25.14228610209004,3.557199474258097,18.82913914947278,30.158834537831613,39.46544696523637,36.47514780643278,2.202496611732356,33.37719361182371,38.93700931107861,29.08770413145176,22.74138757955293,4.95862644147941,17.146094090978107,28.397624766728548,38.72047009554606,34.29526423851258,2.850710477659012,32.476637336311654,36.80197617487041
11,31.16873681587612,23.87972241638208,4.910763593862322,14.311768138554232,30.71428079075609,39.46544696523637,36.399844614953984,2.199160978340867,33.407805607218485,39.191713519362665,29.08770413145176,21.92420537994868,5.392439898714581,14.424952177246908,28.620327110289093,38.72047009554606,34.14324117825797,2.165278992264876,32.32528534799365,37.10616687199497
12,31.16873681587612,24.27262874982112,4.364500120376278,16.233346522111383,30.158834537831613,39.46544696523637,36.64127860256438,2.110972619331543,33.38069449597901,39.017927181798775,29.08770413145176,22.98454247435912,3.578775998928684,16.488447735367124,28.08395891032638,38.72047009554606,34.65319819261152,1.612039584216096,32.539167441805375,37.431388519729886
13,31.16873681587612,24.228850518447825,4.75538673718572,13.310260830666753,30.71428079075609,39.46544696523637,36.770944832486045,2.184882437833,33.427013945240944,39.434732866725206,29.766105293252245,23.96959328665939,3.5287132356363737,18.1963630465383,29.3942153483966,38.72047009554606,34.81222981846929,1.6666709485145286,32.67234027665626,37.72067444576934
14,32.253573584645295,22.700506164847965,5.638174185857194,11.534877404421083,31.16873681587612,39.46544696523637,36.40130104463563,2.234311479765631,33.36998454907841,39.12083300041068,29.766105293252245,22.45000783675414,5.651384495941175,12.65692455855372,29.523003181992213,39.94564814698893,35.03712090235809,1.9255223462802704,32.579855895535616,38.30245519659682
15,32.56199914349261,24.97731906711564,4.772199240197594,17.677405481092592,32.253573584645295,39.46544696523637,35.857153792772785,2.02675275704569,32.67078855875306,38.8221969737298,13.801356497022148,-1.5152703711251798,6.502662885470381,-6.382612485965339,13.801356497022148,39.24465081580047,9.038234345029732,16.945670590330252,-10.200894782244308,32.35172127387702
16,32.56199914349261,24.34383448163312,6.311341683229708,12.794890491675892,32.42320764201132,38.844900961384766,36.217302727830806,1.7560124346590922,33.023166633186605,38.814105819169306,19.42237994892274,1.5724407752518708,8.316857428087303,-6.382612485965339,16.386739464834935,39.24465081580047,15.308426405243113,16.587214891465127,-10.171886115008276,32.86520318417281
