gen,best_default,mean_default,std_default
0,30.344008189180148,7.686619773792838,11.609042923338388
1,30.409013019489144,14.93690311498821,9.422834321613918
2,39.40901301948914,20.138134646912626,8.204324687372985
3,48.028738160209535,22.314990096469245,6.766521781818022
4,48.028738160209535,23.72624678413269,7.664417859033294
5,48.028738160209535,23.8239640704516,7.601673363122324
6,65.74424995824663,24.70547192982925,8.990557840783346
7,65.74424995824663,25.1613369749155,9.552210157018504
8,65.74424995824663,26.39177081491868,11.299208268853969
9,65.74424995824663,28.69201156558428,10.598448239413978
10,85.41189472731543,30.61327435317867,13.611691160336072
11,87.13111060585317,34.71422763456712,15.91527726299552
12,88.22497518017192,39.52873322934836,18.33382753764343
13,88.22497518017192,41.07891040232158,19.799201371773847
14,88.22497518017192,44.17677492775534,20.159404181098104
15,88.22497518017192,46.89599243040204,22.71464729542238
16,88.22497518017192,55.09450209526447,22.466131626176736
17,88.22497518017192,59.02383557514469,23.37329495968872
18,88.22497518017192,60.72737434246097,21.212165250979258
19,89.47111060585317,66.42820356819335,19.17844919832102
20,89.47111060585317,68.29320212868362,18.62478125850326
21,89.47111060585317,65.6546267979519,22.92751764811376
22,89.47111060585317,68.22569302151828,21.32721640147976
23,89.47111060585317,68.22009954388449,22.763787751979912
24,89.47111060585317,69.59792077522602,21.38080191347645
25,89.47111060585317,70.05110050646694,23.09200961114676
26,89.47111060585317,69.97102218596865,23.01922227899714
27,89.47111060585317,71.59699047133348,20.68353791820337
28,89.47111060585317,69.48810594470483,23.27817412145541
29,89.47111060585317,70.1363149798881,20.813423161886448
