gen,best,mean,std
0,39.19788162462294,21.8119845735254,10.8847579069443
1,59.09463815194543,32.11578778449217,7.2745541785927585
2,66.16811752271649,36.47684240110647,5.359226858899072
3,68.16811752271649,39.007110598665086,6.370773293616452
4,69.16811752271649,42.48208945451071,8.068338153664632
5,69.16811752271649,46.45286164632352,10.13768678932413
6,69.16811752271649,48.007462850695966,10.508953357120742
7,69.16811752271649,50.34297047794372,10.638325999647384
8,69.16811752271649,53.44463211034861,9.88914607023739
9,69.16811752271649,55.4057361143281,8.803622855572877
10,69.16811752271649,57.58502021478607,7.353178588074621
11,69.16811752271649,58.8081346860709,6.657363512303564
12,69.16811752271649,60.00630777795405,6.025104557583597
13,69.16811752271649,60.85495794248728,5.552075425488146
14,69.16811752271649,62.328407127905706,4.81819975166593
15,69.24742736117437,62.82211055752136,4.522248308562758
16,69.24742736117437,64.01610840671347,4.010405802909614
17,69.24742736117437,65.15166100949739,3.414439779731681
18,69.24742736117437,65.75333150640091,3.0408908821479903
19,69.24742736117437,66.25791346973683,2.652520294605604
