gen,best_balanced,mean_balanced,std_balanced,best_default,mean_default,std_default
0,34.20090734553948,8.29739943570722,11.88562490654498,66.20394224923463,19.223438988134177,21.574020796009155
1,49.09463815194543,17.045221353230524,12.252925014968168,85.09736666659863,34.930590362653454,21.997796027750866
2,49.13070308686623,23.60054740942897,10.405058612158667,85.1335319430667,46.76458071523024,18.32283716860131
3,56.78939992297535,25.39691643257351,10.67478330935797,86.39140997390336,49.65621921588254,17.636292009656923
4,58.78939992297535,27.20396550861244,10.858295407031765,86.79140997390337,52.50283083851604,16.83696140616429
5,58.78939992297535,29.39211706437836,11.073947333790931,86.79140997390337,55.82659176650511,15.726724252644924
6,63.37959913428285,30.59333536883943,11.110384713788422,88.18322890233343,57.62767443704537,14.79589172755695
7,63.37959913428285,33.01783029367155,12.144959513928912,88.18322890233343,60.79603665081599,15.00000711983575
8,63.37959913428285,34.88076198742501,12.3091340797425,88.18322890233343,63.47487331251946,14.800598533328737
9,63.37959913428285,37.12294183070716,12.036151872663286,88.18322890233343,66.82115862056294,13.830280971646882
10,63.37959913428285,37.97384950979946,13.606488834084477,88.18322890233343,67.10414762447621,16.20532866903653
11,63.37959913428285,39.63615650179249,13.532661847311088,88.18322890233343,69.11844604885997,15.308918470857558
12,63.37959913428285,39.87909236180114,14.048276659403657,88.18322890233343,69.48141833392401,16.861855220362457
13,63.37959913428285,42.25630827062718,13.469623107662464,88.18322890233343,72.58659665645062,15.42622162876044
14,63.37959913428285,44.9976225672248,12.652262944378188,88.18322890233343,75.75979162053079,13.392263076984031
15,63.37959913428285,43.938234018463646,12.56149295734341,88.18322890233343,74.82846325050883,13.1672818286589
16,64.79140997390337,44.09780227216281,14.186761184160837,87.99342407327508,73.99608459194265,16.240478990560643
17,64.79140997390337,44.34410664641616,15.072306683062338,87.99342407327508,73.88237707631009,18.24214318840775
18,64.79140997390337,44.46358152393386,15.086069207895587,87.99342407327508,73.88974116029253,18.221242177963976
19,64.79140997390337,45.935291386921065,13.509010991934396,87.99342407327508,76.08942036868159,15.37989436876269
20,64.79140997390337,46.58001872309106,13.75762798544056,87.99342407327508,76.53412529482283,15.751977416731371
21,64.79140997390337,46.47972526642191,13.236805183348958,87.99342407327508,76.7458044742344,14.63587215807681
22,64.79140997390337,47.28676563583746,13.44641327861494,87.99342407327508,77.07291970712573,14.907116629030108
23,64.79140997390337,46.36554206018718,12.3060965237793,87.99342407327508,77.1035525728957,12.396121014372625
24,64.79140997390337,47.60410582980495,12.099175638816002,87.99342407327508,78.15011060520281,11.879094995245715
25,64.79140997390337,45.12824572616419,14.337054309420122,87.99342407327508,74.9543711315075,16.611953104268366
26,64.79140997390337,45.47109990436581,14.05445344447779,87.99342407327508,75.65715141422908,16.468207886118762
27,73.37959913428286,47.02016353914796,12.891738506719287,90.18322890233344,77.4062135513702,13.232225331731378
28,73.37959913428286,47.87112181234319,13.524533968371465,90.18322890233344,77.74520010879056,14.512443223538488
29,73.37959913428286,44.56193687899621,14.469046091752777,90.18322890233344,74.372053193078,16.231148789028346
