gen,best,mean,std
0,78.14935744741243,44.11247479054894,21.81742952625681
1,78.14935744741243,59.705113662758414,3.5452433102800898
2,85.72784596782232,61.14363730707717,5.30636873509174
3,85.72784596782232,62.48875303272954,6.594680257617358
4,85.72784596782232,64.61325501225554,7.4977800003417245
5,86.59173230259887,66.51628822490447,7.8682967019826995
6,86.59173230259887,68.97755453925315,8.090458438321923
7,86.59173230259887,71.45110659847795,7.332140455010744
8,86.59173230259887,73.51823247707668,6.202766290830188
9,86.59173230259887,74.7067627753168,5.644341281484702
10,86.59173230259887,76.09201782390865,4.7236974763954365
11,86.59173230259887,77.3063390667667,4.173724175349017
12,86.59173230259887,78.20084980434154,3.6250012864810164
13,86.59173230259887,78.71808644383576,3.3129074025189214
14,86.59173230259887,79.1199751809377,3.0144718755228808
