gen,best_default,mean_default,std_default
0,56.61143859445437,6.213889756098032,12.772106385963736
1,75.13921377653413,24.65259587379821,17.0987061570361
2,94.9001335721758,38.45101822574516,20.49833551695918
3,94.9001335721758,45.40268993259301,22.351910886451904
4,94.9001335721758,51.77197448656977,23.85093477081161
5,94.99605369405454,55.30296996317511,22.97322278242468
6,94.99605369405454,58.63569138695285,22.553419399680656
7,94.99605369405454,60.80536080344298,24.410721306245005
8,94.99605369405454,64.7874929589729,21.10969708657954
9,94.99605369405454,62.643238170295874,24.178686840407703
10,94.99605369405454,61.38959060405168,24.214566518709432
11,94.99605369405454,61.65150494130076,24.699632889614698
12,94.99605369405454,62.104226196010096,22.915586981548472
13,94.99605369405454,62.92051950803661,22.000366447331483
14,94.99605369405454,59.99245186219672,23.8058485185455
15,95.01639337829168,63.42298303368904,23.07607678736421
16,95.01639337829168,63.08730999138848,25.133921483194182
17,95.01639337829168,63.21281213008947,25.50595313475128
18,95.01639337829168,62.48831834831247,24.21688150510018
19,95.01639337829168,62.37190826772319,26.80590037395666
20,95.01639337829168,63.90473955215914,24.98146270736321
21,95.01639337829168,65.44838082481729,24.54874824525725
22,95.01639337829168,66.21912094455817,23.646317843912417
23,95.01639337829168,66.07685076721182,23.018334735405062
24,95.01639337829168,66.97476553408639,22.29738629409918
25,95.01639337829168,65.82006458883167,25.161863530349443
26,95.01639337829168,64.19210890966228,25.83901010319379
27,95.01639337829168,66.40571590976761,23.582086630844355
28,95.01639337829168,69.41270157274897,23.17785625043977
29,95.01639337829168,67.22243359145129,25.03046287765464
