gen,best,mean,std
0,66.49669509194108,35.335356121522274,8.626645725886407
1,66.49669509194108,51.7412693707995,12.334472388770585
2,70.94814186652408,62.80468931505344,4.476400054421456
3,70.94814186652408,66.30063375094231,0.7232014691528588
4,70.94814186652408,66.51789024232814,0.4458727165015213
5,71.59669509194109,66.69367379906771,0.8899418097689211
6,72.1340239849783,66.88791930425447,1.1893824240848438
7,72.1340239849783,67.22081028457323,1.479938413997638
8,73.67699002086177,67.68184818648697,1.8598753701054849
9,73.67699002086177,67.96524906448062,1.958364670149124
10,74.8201026464597,68.70478693996341,2.2272536104990808
11,74.8201026464597,69.4155801118512,2.174068485441239
12,75.1966950919411,70.42558202963798,1.9665673792976088
13,75.1966950919411,71.1583974932272,1.6506167250123724
14,75.1966950919411,71.54846938442148,1.6316606492294567
