gen,best_default,mean_default,std_default
0,92.59605369405452,31.587666179677072,35.60791640371
1,92.59605369405452,62.01383004389676,25.51967576083455
2,92.59605369405452,75.50358605777818,18.638259884460933
3,92.61261419415924,81.47634512197914,14.20315187744753
4,93.3361681949744,82.20041165333473,13.449171960118152
5,93.3361681949744,83.76678513021288,12.24668749390613
6,93.3361681949744,85.40514486076792,10.962426217496477
7,93.3361681949744,86.57565745840577,9.317931688581067
8,93.3361681949744,87.18881540762479,9.598416105569465
9,93.3361681949744,85.72479549467648,11.974185351664405
10,93.3361681949744,86.51988116523539,9.458366492241549
11,93.3361681949744,85.42430097113753,11.442370267520566
12,93.3361681949744,84.95594428584872,11.633903619786384
13,93.38936470590374,86.1471307616984,10.447829663251392
14,93.38936470590374,87.20426704917841,9.527668404153466
15,93.38936470590374,87.4835148689188,9.82303327498687
16,93.38936470590374,86.73076716302884,11.27226273905124
17,93.38936470590374,86.44275144788317,11.10934265080014
18,93.40956741322128,84.70588992029863,15.090398184527327
19,93.40956741322128,87.76395643404632,8.459684686596624
20,93.40956741322128,85.1876160360993,13.223801740375182
21,93.40956741322128,88.46582315109869,7.652350146990668
22,93.40956741322128,85.18417892063616,13.79503118690014
23,93.40956741322128,88.84841608914405,7.579886713102901
24,93.40956741322128,87.74811709919102,12.69653408422442
25,93.40956741322128,88.15048742208135,9.130585022816122
26,93.40956741322128,87.89998644801827,10.70332440796797
27,93.40956741322128,86.12645340006168,12.948808957789788
28,93.40956741322128,85.40651470331508,13.57262954127525
29,93.40956741322128,87.80456354798443,9.59482412121375
