parents,parents_beaten,beaten,p,e,t
0+3 (0.1:0.9),7 & 6,2,[ 0. 78.  0.  0. 83.  0.  0.  0.],[ 50.   0.  30.  60.   0. 100. 100.  50.],[398 268 522 745 212 379  25 649]
0+3 (0.1:0.9),7 & 6,1,[ 0.  0.  0.  0. 83.  0.  0.  0.],[ 50.  20.  30.  60.   0. 100. 100.  50.],[398 385 521 925 211 382  23 649]
0+3 (0.2:0.8),7 & 6,1,[ 0.  0.  0.  0. 73.  0.  0.  0.],[ 50.  20.  30.  60.   0. 100. 100.  50.],[398 416 509 924 288 380  23 649]
0+3 (0.2:0.8),7 & 6,0,[ 0.  0.  0.  0. 81.  0.  0.  0.],[ 50.  40.  20.  50.  30. 100. 100.  60.],[ 398  414  509 1146 1000  400   23  649]
0+3 (0.2:0.8),7 & 6,0,[ 0.  0.  0.  0. 51.  0.  0.  0.],[ 50.  40.  20.  50.  50.  80. 100.  50.],[ 398  414  522 1123 1000  575   23  649]
0+3 (0.2:0.8),7 & 6,0,[ 0.  0.  0.  0. 47.  0.  0.  0.],[ 50.  30.  20.  40.  50. 100. 100.  50.],[ 398  385  504 1205 1000  421   23  649]
0+3 (0.2:0.8),7 & 6,0,[ 0.  0.  0.  0. 46.  0.  0.  0.],[ 50.  40.  20.  50.  70. 100. 100.  60.],[ 398  381  503 1167 1000  439   23  649]
0+3 (0.2:0.8),7 & 6,0,[ 0.  0.  0.  0. 49.  0.  0.  0.],[ 50.  70.  20.  50.  70. 100. 100.  50.],[ 398  354  503 1046 1000  474   23  606]
0+3 (0.2:0.8),7 & 6,0,[ 0.  0.  0.  0. 87.  0.  0.  0.],[ 50.  60.  20.  80.  80. 100. 100.  50.],[ 398  339  503  666 1000  395   23  606]
0+3 (0.2:0.8),7 & 6,0,[ 0.  0.  0.  0. 59.  0.  0.  0.],[ 50.  70.  20.  80.  80. 100. 100.  50.],[ 398  339  503  655 1000  397   23  606]
