gen,best,mean,std,best_log,mean_log,std_log
0,84.40804643443417,10.399368860041116,17.687052145716894,84.40804643443417,10.399368860041116,17.687052145716894
1,84.46912576535385,21.48800310524408,20.18072601243223,84.46912576535385,21.48800310524408,20.18072601243223
2,86.56878601264965,30.55728742502696,24.238166434451383,86.56878601264965,30.55728742502696,24.238166434451383
3,86.59829930534798,42.05477462276437,26.52005756792544,86.59829930534798,42.05477462276437,26.52005756792544
4,86.59829930534798,58.036721559598064,25.65776465203861,86.59829930534798,58.036721559598064,25.65776465203861
5,86.59829930534798,67.06391874972098,22.69429666387885,86.59829930534798,67.06391874972098,22.69429666387885
6,86.92912576535386,70.99850279700267,18.342027254666966,86.92912576535386,70.99850279700267,18.342027254666966
7,86.92912576535386,74.2784373518144,15.08574347326504,86.92912576535386,74.2784373518144,15.08574347326504
8,87.51102825700785,74.97196958454322,13.691502481799638,87.51102825700785,74.97196958454322,13.691502481799638
9,87.51102825700785,75.21207574971965,15.868152970721429,87.51102825700785,75.21207574971965,15.868152970721429
10,87.51102825700785,75.25954083028766,15.269430089575335,87.51102825700785,75.25954083028766,15.269430089575335
11,87.51102825700785,73.35582816592776,16.577332681124876,87.51102825700785,73.35582816592776,16.577332681124876
12,87.51102825700785,72.321738491404,17.234860894251046,87.51102825700785,72.321738491404,17.234860894251046
13,87.62990276448613,74.3741009184932,16.82944537484091,87.62990276448613,74.3741009184932,16.82944537484091
14,90.29591279177048,77.03177198691449,13.784842793009814,90.29591279177048,77.03177198691449,13.784842793009814
15,90.29591279177048,76.94307575893045,15.051564989762094,90.29591279177048,76.94307575893045,15.051564989762094
16,90.29591279177048,76.70354647462592,15.12316297912605,90.29591279177048,76.70354647462592,15.12316297912605
17,90.29591279177048,72.87246919097812,20.55975902587776,90.29591279177048,72.87246919097812,20.55975902587776
18,90.29591279177048,71.51812887157428,18.86555078706604,90.29591279177048,71.51812887157428,18.86555078706604
19,90.29591279177048,75.6181590469484,15.825832212542748,90.29591279177048,75.6181590469484,15.825832212542748
20,90.29591279177048,73.85096460053454,16.88398934953555,90.29591279177048,73.85096460053454,16.88398934953555
21,90.29591279177048,70.23256693016394,22.17533767387082,90.29591279177048,70.23256693016394,22.17533767387082
22,90.29591279177048,72.80111219973665,17.39741864928099,90.29591279177048,72.80111219973665,17.39741864928099
23,90.29591279177048,72.80425204000785,19.77492499763599,90.29591279177048,72.80425204000785,19.77492499763599
24,90.29591279177048,73.90613660718395,18.622727473456155,90.29591279177048,73.90613660718395,18.622727473456155
25,90.29591279177048,74.9439744775293,17.646188895330642,90.29591279177048,74.9439744775293,17.646188895330642
26,90.29591279177048,73.82602512660414,16.60415151593902,90.29591279177048,73.82602512660414,16.60415151593902
27,90.29591279177048,75.3966903341422,15.130166028149503,90.29591279177048,75.3966903341422,15.130166028149503
28,90.29591279177048,75.97636787131889,15.970704493391423,90.29591279177048,75.97636787131889,15.970704493391423
29,90.29591279177049,74.45049067432495,16.887028044275866,90.29591279177049,74.45049067432495,16.887028044275866
