parents,parents_beaten,beaten,p,e,t
0,0,0,0,0,0
0+1 (0.01:0.99),7 & 7,6,[20. 42. 10.  0. 63.  0. 66. 41.],[ 0.  0.  0. 40.  0. 60.  0.  0.],[299 316 487 709 268 491 158 418]
0+1 (0.02:0.98),7 & 7,5,[ 0. 42. 10.  0. 63.  0. 66. 30.],[10.  0.  0. 10.  0. 50.  0.  0.],[369 315 487 676 268 498 158 461]
0+1 (0.03:0.97),7 & 7,5,[100.   0.   8.   0.  63.   0.  68.  23.],[ 0. 10.  0. 30.  0. 40.  0.  0.],[184 371 487 508 268 592 158 445]
0+1 (0.04:0.96),7 & 7,5,[100.   0.   8.   0.  63.   0.  73.  43.],[ 0. 10.  0. 40.  0. 70.  0.  0.],[184 371 497 508 268 490 158 353]
0+1 (0.05:0.95),7 & 7,2,[ 0.  0. 26.  0. 57.  0.  0.  0.],[10. 10.  0. 30.  0. 60. 10. 40.],[331 371 421 610 320 604 176 778]
0+1 (0.06:0.94),7 & 7,3,[ 0.  0. 24.  0. 57.  0.  0. 20.],[40. 10.  0. 60.  0. 30. 10.  0.],[331 371 383 480 320 542 179 451]
0+1 (0.07:0.93),7 & 7,2,[ 0.  0. 14.  0. 57.  0.  0.  0.],[30. 10.  0. 60.  0. 70. 10. 40.],[334 371 487 558 320 471 179 735]
0+1 (0.08:0.92),7 & 7,2,[ 0.  0. 10.  0. 57.  0.  0.  0.],[30. 10.  0. 60.  0. 70. 10. 40.],[331 371 385 550 320 477 179 498]
0+1 (0.09:0.91),7 & 7,3,[ 0. 78. 10.  0. 66.  0.  0.  0.],[30.  0.  0. 50.  0. 60. 10. 20.],[334 237 385 671 294 548 179 672]
0+1 (0.10:0.90),7 & 7,3,[ 0. 72.  2.  0. 62.  0.  0.  0.],[50.  0.  0. 60.  0. 60. 10. 10.],[334 288 396 538 320 565 179 800]
0+1 (0.11:0.89),7 & 7,2,[ 0. 84.  0.  0. 65.  0.  0.  0.],[50.  0. 40. 70.  0. 70. 10. 50.],[331 237 339 473 294 470 180 623]
0+1 (0.12:0.88),7 & 7,2,[ 0. 82.  0.  0. 68.  0.  0.  0.],[ 70.   0.  40.  70.   0. 100.  10.  40.],[331 237 339 473 268 429 180 625]
0+1 (0.13:0.87),7 & 7,2,[ 0. 82.  0.  0. 65.  0.  0.  0.],[50.  0. 40. 70.  0. 60. 10. 50.],[334 237 337 473 268 465 180 651]
0+1 (0.14:0.86),7 & 7,2,[ 0. 82.  0.  0. 67.  0.  0.  0.],[60.  0. 40. 60.  0. 80. 10. 70.],[331 237 337 499 268 363 180 338]
