gen,best_default,mean_default,std_default
0,56.5574598335318,-0.2199187628554369,11.453430408124907
1,56.5574598335318,3.0255471163508774,13.509703120876852
2,56.5574598335318,8.272933924065594,15.947360992168148
3,56.5574598335318,12.929560490715827,16.77947243350789
4,56.5574598335318,20.297045220427226,16.783581061506013
5,64.70674296610396,28.274947988997884,15.128827018375148
6,64.70674296610396,32.60806209791761,13.533256020350755
7,64.70674296610396,35.01811432960231,13.925797500600495
8,64.70674296610396,37.86397081557862,12.154219633469546
9,64.70674296610396,40.43394420181576,10.919091976979065
10,67.20626106506663,40.6549815633333,11.804152181490728
11,67.20626106506663,42.50714466545004,11.231333177947004
12,72.46441120170846,45.176068432238814,10.544221826845028
13,72.46441120170846,44.95091174159057,10.972633342390674
14,80.77469337701976,46.55253523039517,12.434471630722324
15,80.77469337701976,48.789849945548255,12.243550207741809
16,86.56765193272267,50.22225762135101,14.622995180941787
17,86.56765193272267,51.52124594690632,13.976631408324428
18,86.56765193272267,52.23857297375233,16.06881906512427
19,86.90340206821028,57.3629181659911,15.703478580098931
20,86.90340206821028,60.31977644623563,15.272507754984158
21,86.90340206821028,65.09364688745772,13.832076373369212
22,86.90340206821028,63.448604801229415,15.134844757697516
23,86.90340206821028,66.01914593032723,13.70402758305158
24,86.90340206821028,67.74036188738292,12.516353476556308
25,87.09264599833585,69.24995133579549,11.808723971358434
26,87.09264599833585,72.60116779124469,10.481502631007578
27,87.09264599833585,75.14549257775656,9.271204691446313
28,87.09264599833585,75.29214329983569,11.618629764669436
29,87.09264599833585,75.14437718675593,8.676771443478659
