gen,best,mean,std
0,59.6117329693056,33.498241833866814,7.145293610208265
1,59.84814186652407,39.06065097287696,5.851663670759293
2,59.84814186652407,48.221203790906884,8.086101257940374
3,59.84814186652407,55.85245140825877,1.8475496091253856
4,60.8117329693056,57.281413688579704,1.4972476182471723
5,61.64814186652408,58.241413688579684,1.2443747554495046
6,61.64814186652408,58.818049599607505,0.9705369425164476
7,66.04896154643444,59.3924218853788,1.0333271096864902
8,70.22772932632869,59.9354288683298,1.7114968120574496
9,70.22772932632869,60.69150603296885,2.472183774123605
10,73.52855887687015,62.00543378277569,3.328702223747525
11,73.52855887687015,63.352901317186536,3.406470212206458
12,73.82855887687016,64.64082339787463,3.3604816567959515
13,73.82855887687016,65.90200822241883,3.0348726010837868
14,73.82855887687015,66.38312284736914,2.763145328794058
