gen,best_default,mean_default,std_default
0,92.4628317747068,20.61476655347006,33.27191501355616
1,92.4628317747068,46.22620698246163,38.097795442037786
2,93.46094470078548,73.91219558486675,29.039030602358643
3,93.71240366476763,86.98146606775177,11.73396056079214
4,93.83859563501557,88.20233993383748,10.283786652072386
5,93.95859563501554,88.70730918374954,8.300679477243674
6,93.95859563501554,90.2411187657562,5.536770771634552
7,94.06670840550224,89.52978492069248,10.079224987547322
8,94.30506424239104,90.21027997355712,6.474900346990108
9,94.30506424239104,90.43770361099426,7.915613844514098
10,94.30506424239104,88.77517737082714,14.68583773001501
11,94.38482618476618,89.89032283754086,11.615140614393765
12,94.38482618476618,88.31160073338228,16.54386868780821
13,94.38482618476618,92.03199630328136,1.4605586625928908
14,94.38482618476618,92.01652596027796,1.4796100719886902
15,94.38482618476618,92.3151394648208,1.0546234922019313
16,94.38482618476618,92.33857775904926,0.9566740859649584
17,94.38482618476618,92.3806557293468,1.028253511879137
18,94.39109579777976,91.4921033633132,9.26036572004723
19,94.39109579777976,92.4576494659436,1.1611119114006303
20,94.39109579777976,91.07539010080797,10.273049727748427
21,94.49250552318657,91.27664604992184,9.597093211013856
22,94.49833644349734,91.68573125835002,9.04213830722865
23,94.51109579777976,92.53248793881323,1.529982885173067
24,94.61250552318656,91.1636971055132,11.5400425732355
25,94.61250552318656,92.77325986422088,1.1400654289590222
26,94.61250552318656,92.56420654724992,1.4022073138683566
27,94.61250552318656,91.69566659832616,9.303901361923296
28,94.61250552318656,91.60166047211828,9.043011448608446
29,94.61250552318656,92.72563804808168,1.2350187146998688
