gen,best_default,mean_default,std_default
0,65.76363040979629,35.88760771274128,19.93957990452586
1,74.77346333071253,49.59729665038764,15.570710005237768
2,74.78939992297535,53.55292868644084,15.142996747925462
3,89.99342407327508,57.61610872632425,14.22933515707514
4,91.62364909070206,63.67602237307528,16.712619617106228
5,91.62364909070206,69.365021872929,19.528243887159583
6,91.62364909070206,71.79367871077585,18.71324317101654
7,91.62364909070206,75.73142496528172,16.760080035011665
8,91.62364909070206,77.44748998326719,15.017224717131034
9,91.62364909070206,79.00771811905246,15.601521230011835
10,91.62364909070206,77.00878666261612,16.834002707457554
11,91.62364909070206,74.6875096826039,19.48106533466417
12,91.62364909070206,74.43867739387083,16.944398905046786
13,91.62619038813074,76.35424604802269,17.03615367080989
14,91.62619038813074,78.38567573395136,14.597432008384292
15,91.62619038813074,79.40914155815739,12.149600710549883
16,91.62619038813074,76.18509942409547,15.341317011548666
17,91.62619038813074,76.04688948841982,15.83361851584112
18,91.62619038813074,74.73126271890332,16.23005682846636
19,91.62619038813074,76.69626568722714,15.211858107747512
20,91.62619038813074,77.5733945001512,15.477369782202995
21,91.62619038813074,75.98415742679771,16.67229010424256
22,92.02619038813074,76.74852736572592,17.941843442904513
23,92.02619038813074,77.28108842065467,14.110648932443825
24,92.02619038813074,74.59036033853347,15.747963683055602
25,92.02619038813074,77.6771156698305,14.451342951385442
26,92.02619038813074,79.10461782545663,12.885086189155892
27,92.02619038813074,75.69732406727456,16.453912147480203
28,92.02619038813074,76.26110361750162,15.202304971478942
29,92.02619038813074,75.86658208952763,16.46803031252016
