gen,best,mean,std
0,29.01103858311013,13.718387238595678,6.8493259674287925
1,39.011038583110135,19.36212286741502,2.2642564767621858
2,39.011038583110135,21.366746177118443,5.072154212630621
3,39.011038583110135,23.22071376481453,6.1896046287064985
4,39.011038583110135,25.32720476384061,7.1540729643992655
5,39.011038583110135,27.28165704109227,6.8888846945289846
6,39.011038583110135,29.976883366413695,5.969344133689753
7,39.011038583110135,31.67000867980073,5.2129141347693615
8,39.011038583110135,33.27123338252758,4.255286901392251
9,39.011038583110135,34.12243895215297,4.170428902992385
10,39.011038583110135,34.572438952152964,4.103622412305465
11,39.011038583110135,34.876146193053344,3.985959615076235
12,39.011038583110135,36.126652377203605,3.3023501011961414
13,39.011038583110135,36.814553344287646,2.4780515556198632
14,39.07574420258547,37.21520040048239,2.395891067361649
