parents,p,e,t
1x0.4 + 3x0.6,[ 0. 78.  0.  0. 63.  0. 81. 32.],[70.  0. 40. 70.  0. 90.  0.  0.],[332 237 339 407 268 264 171 424]
1x0.5 + 3x0.5,[ 0. 70.  0.  0. 63.  0. 81. 41.],[ 70.   0.  50.  60.   0. 100.   0.   0.],[332 247 338 599 268 235 171 474]
1x0.6 + 3x0.4,[ 0. 70.  0.  0. 63.  0. 81.  0.],[70.  0. 30. 80.  0. 80.  0. 70.],[337 247 338 594 268 271 171 467]
1x0.7 + 3x0.3,[ 0. 70.  0.  0. 59.  0. 81.  0.],[70.  0. 40. 70.  0. 90.  0. 60.],[350 247 338 423 294 264 171 520]
1x0.8 + 3x0.2,[ 0. 70.  0.  0. 57.  0. 81.  0.],[60.  0. 30. 40.  0.  0.  0. 80.],[343 247 338 504 294 406 171 447]
1x0.9 + 3x0.1,[ 0. 72.  0.  0. 57.  0. 74.  0.],[50.  0. 30. 30.  0. 50.  0. 70.],[640 258 453 522 294 463 158 425]
1x0.1 + 4x0.9,[ 0. 28.  0.  0. 60.  0.  0. 35.],[70.  0. 20. 70.  0. 20. 20.  0.],[308 227 324 291 241 351 232 347]
1x0.2 + 4x0.8,[ 0.  8.  0.  0. 59.  0.  0.  0.],[70.  0. 50. 60.  0. 30. 20. 80.],[308 238 338 314 294 354 243 222]
1x0.3 + 4x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 30. 10. 80.],[308 247 337 269 268 360 285 222]
1x0.4 + 4x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 247 337 269 268 242 307 227]
1x0.5 + 4x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 60. 10. 80.],[308 247 337 269 268 222 307 234]
1x0.6 + 4x0.4,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 90. 10. 70.],[308 247 338 269 268 188 307 237]
1x0.7 + 4x0.3,[ 0. 70. 10.  0. 63.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 10. 70.],[308 247 487 269 268 237 307 243]
1x0.8 + 4x0.2,[ 0. 70. 30.  0. 63.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 10. 60.],[331 247 373 269 268 288 319 442]
1x0.9 + 4x0.1,[ 0. 72. 26.  0. 59.  0.  0.  0.],[80.  0.  0. 70.  0. 70. 10. 70.],[348 258 496 285 294 432 322 545]
1x0.1 + 5x0.9,[ 0. 66.  0.  0. 62.  0.  0. 29.],[80.  0. 30. 60.  0. 70. 10.  0.],[321 157 246 248 250 226 214 331]
1x0.2 + 5x0.8,[ 0. 66.  0.  0. 57.  0.  0. 29.],[80.  0. 30. 60.  0. 40. 90.  0.],[321 191 246 246 290 295  28 331]
1x0.3 + 5x0.7,[ 0.  0.  0.  0. 74.  0.  0. 28.],[90. 10. 20. 40.  0. 60. 30.  0.],[321 221 261 385 290 252 256 331]
1x0.4 + 5x0.6,[ 0.  0.  0.  0. 78.  0.  0.  0.],[40. 60. 30. 80.  0. 60. 80. 40.],[323 357 295 225 187 244 253 554]
1x0.5 + 5x0.5,[ 0.  0.  0.  0. 62.  0.  0.  0.],[60. 70. 50. 90.  0. 90. 60. 60.],[311 348 300 402 320 391 249 529]
1x0.6 + 5x0.4,[ 0.  0.  0.  0. 72.  0.  0.  0.],[50. 70. 20. 90.  0. 80. 90. 60.],[572 550 586 408 332 383  38 475]
1x0.7 + 5x0.3,[ 0.  0.  0.  0. 68.  0.  0.  0.],[50. 50. 40. 90.  0. 60. 90. 60.],[664 486 716 438 423 483  39 515]
1x0.8 + 5x0.2,[ 0.  0.  0.  0. 69.  0.  0.  0.],[50. 40. 60. 90.  0. 50. 50. 50.],[492 550 598 430 294 440 167 541]
1x0.9 + 5x0.1,[ 0.  0.  0.  0. 65.  0.  0.  0.],[30. 10. 10. 50.  0. 80. 20. 70.],[494 406 500 576 268 368 180 449]
1x0.1 + 6x0.9,[ 0. 64.  0.  0. 54.  3. 36.  5.],[70.  0. 50. 60.  0.  0.  0.  0.],[318 258 338 245 273 340 197 483]
1x0.2 + 6x0.8,[ 0. 64.  0.  0. 55.  0.  0.  5.],[70.  0. 60. 60.  0. 20. 10.  0.],[319 258 337 248 274 321 311 480]
1x0.3 + 6x0.7,[ 0. 70.  0.  0. 59.  0.  0.  0.],[70.  0. 60. 60.  0. 50. 10. 80.],[319 247 337 284 265 266 298 362]
1x0.4 + 6x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 80.  0. 40. 10. 80.],[319 247 337 448 268 303 249 360]
1x0.5 + 6x0.5,[ 0. 82.  0.  0. 64.  0.  0.  0.],[50.  0. 60. 80.  0. 10. 10. 10.],[362 258 338 456 294 387 245 617]
1x0.6 + 6x0.4,[ 0.  0.  0.  0.  0.  0.  0. 34.],[20. 30. 50. 80. 10. 40. 60.  0.],[361 335 338 447 846 394 104 601]
1x0.7 + 6x0.3,[0. 0. 0. 0. 2. 0. 0. 0.],[50. 70. 10. 70.  0. 30. 60. 40.],[381 338 523 473 866 460 242 619]
1x0.8 + 6x0.2,[ 0.  0.  0.  0. 74.  0.  0.  0.],[50. 40. 30. 90.  0. 90. 40. 70.],[646 602 510 419 371 394 162 514]
1x0.9 + 6x0.1,[ 0.  0. 10.  0. 63.  0.  0.  0.],[50. 30.  0. 60.  0. 60. 10. 70.],[494 556 497 465 320 427 165 409]
1x0.1 + 7x0.9,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 80. 20.  0.],[312 247 338 270 268 180 251 480]
1x0.2 + 7x0.8,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 50. 10.  0.],[312 247 337 269 268 199 328 480]
1x0.3 + 7x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 40. 10. 30.],[312 247 337 269 268 217 332 391]
1x0.4 + 7x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 40.],[312 247 337 269 268 163 337 384]
1x0.5 + 7x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 397 373]
1x0.6 + 7x0.4,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 164 415 373]
1x0.7 + 7x0.3,[ 0. 70.  0.  0. 65.  0.  0.  0.],[ 70.   0.  60.  70.   0. 100.  10.  30.],[312 247 338 269 268 236 417 388]
1x0.8 + 7x0.2,[ 0. 80.  0.  0. 65.  0.  0. 48.],[70.  0. 50. 70.  0. 60. 10.  0.],[322 237 339 269 268 367 378 512]
1x0.9 + 7x0.1,[ 0.  0.  0.  0. 66.  0.  0.  0.],[10. 10. 50. 70.  0. 50. 10. 50.],[361 371 340 407 268 540 185 481]
2x0.1 + 3x0.9,[ 0. 72. 24.  0. 63.  0.  0. 20.],[ 70.   0.   0.  60.   0. 100.  50.   0.],[345 278 497 509 320 300 174 665]
2x0.2 + 3x0.8,[100.  72.  22.   0.  51.   0.   0.  67.],[ 0.  0.  0. 80.  0. 90. 80.  0.],[184 288 486 488 658 312  45 328]
2x0.3 + 3x0.7,[ 0.  0.  0.  0. 80.  0.  0.  0.],[ 50.  20.  30.  80.   0. 100. 100.  70.],[398 408 522 485 332 262  24 367]
2x0.4 + 3x0.6,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0. 100. 100.  70.],[398 340 522 485 332 259  23 367]
2x0.5 + 3x0.5,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0. 100. 100.  70.],[398 342 522 485 332 258  23 367]
2x0.6 + 3x0.4,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 345  15 367]
2x0.7 + 3x0.3,[ 0.  0.  0.  0. 82.  0.  0.  0.],[ 50.  70.  30.  80.   0.  90. 100.  70.],[398 342 522 485 332 301  23 367]
2x0.8 + 3x0.2,[ 0.  0.  0.  0. 78.  0.  0.  0.],[50. 70. 30. 80.  0. 80. 90. 60.],[398 342 522 335 397 165  33 338]
2x0.9 + 3x0.1,[ 0.  0.  0.  0. 70.  0.  0.  0.],[50. 70. 20. 50.  0. 70. 90. 60.],[ 385  336  529 1010  268  280   33  313]
2x0.1 + 4x0.9,[ 0. 28.  0.  0. 77.  0.  4. 44.],[70.  0. 20. 60.  0. 30.  0.  0.],[308 227 328 355 237 360 223 345]
2x0.2 + 4x0.8,[ 0.  0.  0.  0. 57.  0.  0.  0.],[70. 20. 70. 70.  0. 40. 20. 80.],[308 216 336 298 372 373 242 222]
2x0.3 + 4x0.7,[ 0. 64.  0.  0. 69.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 20. 80.],[308 258 338 302 306 292 305 226]
2x0.4 + 4x0.6,[ 0. 70.  0.  0. 75.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[365 247 338 326 293 228 202 312]
2x0.5 + 4x0.5,[ 0. 72.  0.  0. 61.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[375 247 338 319 306 163 202 344]
2x0.6 + 4x0.4,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 20. 80.],[375 278 528 319 346 163 199 315]
2x0.7 + 4x0.3,[ 0. 72.  6.  0. 69.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 20. 80.],[375 278 486 323 345 163 308 260]
2x0.8 + 4x0.2,[ 0. 72. 30. 27. 65.  0.  0.  0.],[70.  0.  0.  0.  0. 60. 20. 80.],[375 278 474 860 372 242 308 260]
2x0.9 + 4x0.1,[ 0. 72. 30.  0. 63.  0.  0. 33.],[70.  0.  0. 10.  0. 60. 30.  0.],[365 278 474 755 346 246 205 525]
2x0.1 + 5x0.9,[ 0.  0.  0.  0. 65.  0.  0.  0.],[70. 20. 60. 70.  0. 70. 70. 80.],[308 323 338 269 268 182 318 222]
2x0.2 + 5x0.8,[ 0. 70.  0.  0. 61.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 70. 80.],[308 288 338 269 268 163 318 222]
2x0.3 + 5x0.7,[ 0.  0.  0.  0. 62.  0.  0.  0.],[70. 10. 60. 70.  0. 70. 60. 80.],[308 308 338 269 268 163 313 222]
2x0.4 + 5x0.6,[ 0.  0.  0.  0. 63.  0.  0.  0.],[70. 40. 60. 70.  0. 70. 10. 80.],[308 299 338 269 268 163 316 223]
2x0.5 + 5x0.5,[ 0. 42.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 80.],[308 258 338 269 268 163 315 225]
2x0.6 + 5x0.4,[ 0. 60.  0.  0. 65.  0.  0.  0.],[70.  0. 30. 70.  0. 70. 10. 80.],[308 288 338 303 268 163 319 223]
2x0.7 + 5x0.3,[ 0. 72.  0.  0. 65.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[331 237 340 295 268 163 250 223]
2x0.8 + 5x0.2,[ 0. 76.  0.  0. 65.  0.  0.  0.],[70.  0. 20. 70.  0. 70. 10. 80.],[321 278 534 302 268 163 245 297]
2x0.9 + 5x0.1,[ 0. 76. 22.  0. 63.  0.  0.  0.],[70.  0.  0. 70.  0. 60. 10. 80.],[365 278 497 323 268 263 246 330]
2x0.1 + 6x0.9,[ 0. 64.  0.  0. 59.  0.  0.  5.],[70.  0. 60. 60.  0. 60. 10.  0.],[319 258 337 291 264 202 312 480]
2x0.2 + 6x0.8,[ 0. 76.  0.  0. 59.  0.  0.  0.],[70.  0. 60. 60.  0. 80. 10. 80.],[319 237 337 295 292 164 298 343]
2x0.3 + 6x0.7,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 60.  0. 80. 10. 80.],[319 247 337 310 268 218 309 222]
2x0.4 + 6x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 80. 10. 80.],[308 247 337 269 268 182 310 222]
2x0.5 + 6x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 10. 70.  0. 70. 10. 80.],[308 247 453 269 268 163 307 222]
2x0.6 + 6x0.4,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 80. 70.  0. 70. 10. 80.],[308 247 225 269 268 163 307 222]
2x0.7 + 6x0.3,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 80.],[308 247 337 269 268 163 309 223]
2x0.8 + 6x0.2,[ 0. 74. 10.  0. 65.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 10. 80.],[308 247 473 289 268 163 320 227]
2x0.9 + 6x0.1,[ 0. 72. 16.  0. 63.  0.  0. 60.],[70.  0.  0. 70.  0. 50. 10.  0.],[334 278 486 493 268 266 406 344]
2x0.1 + 7x0.9,[ 0. 64.  0.  0. 65.  0.  9.  6.],[70.  0. 60. 60.  0. 50.  0.  0.],[312 258 337 292 268 243 210 480]
2x0.2 + 7x0.8,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 60.  0. 50. 10. 30.],[312 247 337 268 268 201 245 391]
2x0.3 + 7x0.7,[ 0. 70.  0.  0. 65.  0.  8.  0.],[70.  0. 60. 60.  0. 60. 10. 40.],[ 308  247  337  270  268  223 1000  384]
2x0.4 + 7x0.6,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 60.  0. 60. 10. 80.],[308 247 337 276 268 209 307 222]
2x0.5 + 7x0.5,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 50. 10. 80.],[308 247 337 268 268 225 307 222]
2x0.6 + 7x0.4,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 50. 10. 80.],[308 247 337 269 268 225 307 222]
2x0.7 + 7x0.3,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 50. 10. 80.],[308 247 337 269 268 225 308 229]
2x0.8 + 7x0.2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 50. 10. 80.],[308 247 337 269 268 272 307 223]
2x0.9 + 7x0.1,[ 0. 72. 18.  0. 63.  0.  0. 36.],[70.  0.  0. 70.  0. 60. 10.  0.],[308 278 473 285 268 285 319 419]
3x0.1 + 4x0.9,[ 0.  2.  0.  0. 60.  0.  5.  0.],[90.  0. 70. 70.  0. 50.  0. 40.],[315 157 158 251 301 270 197 463]
3x0.2 + 4x0.8,[ 0.  0.  0.  0. 60.  0. 24.  0.],[70. 20. 60. 80.  0. 50.  0. 60.],[297 140 154 255 403 301 236 375]
3x0.3 + 4x0.7,[ 0.  0.  0.  0. 68.  0. 60.  0.],[70. 20. 80. 80.  0. 70.  0. 60.],[170 139 168 258 236 290 158 372]
