experiment_name,best_score,folder
[1]_10_inp-norm-domain_specific_f-balanced,94.93740496697303,1694390326498_[1]_10_inp-norm-domain_specific_f-balanced
[2]_10_inp-norm-domain_specific_f-balanced,91.00278772623588,1694390372419_[2]_10_inp-norm-domain_specific_f-balanced
[3]_10_inp-norm-domain_specific_f-balanced,84.02111423509888,1694384128845_[3]_10_inp-norm-domain_specific_f-balanced
[4]_10_inp-norm-domain_specific_f-balanced,77.63695183661197,1694391128312_[4]_10_inp-norm-domain_specific_f-balanced
[5]_10_inp-norm-domain_specific_f-balanced,94.61240366476756,1694392372571_[5]_10_inp-norm-domain_specific_f-balanced
[6]_10_inp-norm-domain_specific_f-balanced,64.53193985886502,1694390048041_[6]_10_inp-norm-domain_specific_f-balanced
[7]_10_inp-norm-domain_specific_f-balanced,92.47168626269772,1694389525360_[7]_10_inp-norm-domain_specific_f-balanced
[8]_10_inp-norm-domain_specific_f-balanced,89.88188000615581,1694389578795_[8]_10_inp-norm-domain_specific_f-balanced
"[7, 8]_10_inp-norm-domain_specific_f-balanced",90.79605369405458,"1694389642659_[7, 8]_10_inp-norm-domain_specific_f-balanced"
A1_[1]_10_inp-norm-domain_specific_f-balanced,23.92615987895066,1695488523324_A1_[1]_10_inp-norm-domain_specific_f-balanced
A2_[1]_10_inp-norm-domain_specific_f-balanced,94.76889138314542,1695488647753_A2_[1]_10_inp-norm-domain_specific_f-balanced
A3_[1]_10_inp-norm-domain_specific_f-balanced,32.08439081702093,1695489238116_A3_[1]_10_inp-norm-domain_specific_f-balanced
A_1[1]_10_inp-norm-domain_specific_f-balanced,95.05047670967508,1695549547566_A_1[1]_10_inp-norm-domain_specific_f-balanced
A_2[1]_10_inp-norm-domain_specific_f-balanced,95.05706237852306,1695552326490_A_2[1]_10_inp-norm-domain_specific_f-balanced
A_3[1]_10_inp-norm-domain_specific_f-balanced,95.01102726827295,1695556371915_A_3[1]_10_inp-norm-domain_specific_f-balanced
<<<<<<< Updated upstream,,
A1_1[1]_10_inp-norm-domain_specific_f-balanced,91.94851938917591,1695561784045_A1_1[1]_10_inp-norm-domain_specific_f-balanced
A1_2[1]_10_inp-norm-domain_specific_f-balanced,95.03076813189546,1695565789565_A1_2[1]_10_inp-norm-domain_specific_f-balanced
A1_3[1]_10_inp-norm-domain_specific_f-balanced,94.97817963864024,1695568015894_A1_3[1]_10_inp-norm-domain_specific_f-balanced
=======,,
A_4[1]_10_inp-norm-domain_specific_f-balanced,92.06244992038158,1695569061212_A_4[1]_10_inp-norm-domain_specific_f-balanced
>>>>>>> Stashed changes,,
A1_5[1]_10_inp-norm-domain_specific_f-balanced,29.162041059288537,1695651106861_A1_5[1]_10_inp-norm-domain_specific_f-balanced
