gen,best,mean,std
0,74.94087680441821,49.94205827189421,17.552984397640948
1,89.53645558296867,66.30467911683664,4.286642171066383
2,89.53645558296867,69.06859869368485,6.279302231573007
3,89.60389959779562,74.99688506168032,8.663662084048754
4,90.38341372532804,82.16000141275391,5.88980770803413
5,91.95289246928256,87.21292934919313,1.6113811823686084
6,91.95289246928256,87.95807855423577,1.1976659549515998
7,91.95289246928256,88.4292667606935,1.1144707421923514
8,91.95289246928256,88.78304911545902,1.0371659665401485
9,91.95289246928256,89.03195634662251,0.9824644498681924
10,91.95289246928256,89.28270881104832,0.8649978429100619
11,91.95289246928256,89.39232756999776,0.8273887605011027
12,91.95289246928256,89.5175658614775,0.7961965107390037
13,91.95289246928256,89.60683262382607,0.7641682929134753
14,91.95289246928256,89.6957046154074,0.7407364457409115
