gen,best,mean,std
0,83.47853908213776,62.43357099071656,24.123098796104973
1,83.47853908213776,81.57707070614244,0.6791879204778783
2,83.47853908213776,81.99506994811071,0.4557089457215557
3,83.47853908213776,82.14597670151646,0.3948716473089115
4,83.47853908213776,82.29720540081125,0.2423845105225649
5,83.47853908213776,82.35178733288707,0.1159975883275069
6,83.47853908213776,82.36382273797219,0.1509695258820041
7,83.47853908213776,82.42363530038789,0.2618293751054476
8,86.47853908213776,82.64952505234827,0.6149319728631373
9,86.47853908213776,82.89342454512915,0.7393331455676595
10,87.57946500072771,83.23655704741566,0.971117276024136
11,87.57946500072771,83.43261892215942,0.9176760068145208
12,87.57946500072771,83.92402524658861,0.9821758650499895
13,87.67212383121041,84.16095896205213,1.0807533916623544
14,88.52353644806848,84.29724027457219,1.150723198717265
