gen,best,mean,std
0,60.17230630065274,19.67128175910933,17.40682063200995
1,60.17230630065274,45.08484208810198,16.06684822933396
2,60.17230630065274,54.59814180903582,5.801774348815182
3,60.17230630065274,58.198123043205086,4.362164609193414
4,60.17230630065274,60.17230630065276,1.4210854715202004e-14
5,60.17230630065274,60.17230630065276,1.4210854715202004e-14
6,60.17230630065274,60.17230630065276,1.4210854715202004e-14
7,60.17230630065274,60.17230630065276,1.4210854715202004e-14
8,60.17230630065274,60.17230630065276,1.4210854715202004e-14
9,60.17230630065274,60.17230630065276,1.4210854715202004e-14
10,60.17230630065274,60.17230630065276,1.4210854715202004e-14
11,60.17230630065274,60.17230630065276,1.4210854715202004e-14
12,60.17230630065274,60.17230630065276,1.4210854715202004e-14
13,60.17230630065274,60.17230630065276,1.4210854715202004e-14
14,60.17230630065274,60.17230630065276,1.4210854715202004e-14
15,60.43837799706095,60.17496701761684,0.0264737995295809
16,64.72250194643092,60.369427993347344,0.7825358834018102
17,66.70128546567017,60.69395132238732,1.3236294996764255
18,66.70128546567017,60.92539601855015,1.515484929712337
19,66.70128546567017,61.278631156501305,1.7811115411615723
