gen,best,mean,std
0,82.33011907701948,53.90532255678809,20.977534392243644
1,85.5619206910768,75.17929667479332,6.958777164102237
2,85.5619206910768,81.57462719745767,0.6628370838320834
3,85.57065437104556,82.00307061048434,0.7882916581263827
4,85.57065437104556,82.67661091165729,1.1875434540038046
5,88.77964417492167,83.5853633595795,1.5697451162248528
6,88.77964417492167,84.69057295454418,1.5658280640040694
7,88.77964417492167,85.57740381393276,0.9942256606887246
8,88.77964417492167,85.87046017044457,0.8927437493727028
9,88.77964417492167,85.92123883909909,0.919997071697214
10,88.77964417492167,85.99279120502933,0.9818182062781956
11,88.77964417492167,86.0798770474573,1.0461933389636469
12,88.77964417492167,86.08005172105666,1.0461075713912875
13,88.77964417492167,86.14010456262503,1.0982803460913733
14,88.77964417492167,86.25857367834271,1.1688880160685349
15,88.77964417492167,86.318364509512,1.2071166193828369
16,88.77964417492167,86.40815534068129,1.25735353242903
17,88.77964417492167,86.43812084544996,1.2716284863067098
18,88.77964417492167,86.49791167661924,1.2986145683602348
19,88.77964417492167,86.49817368701832,1.2984265624515237
