gen,best_default,mean_default,std_default
0,56.01899425927827,4.245249570330043,12.128582078478932
1,73.90576515407524,14.302185373053,14.958445072529829
2,86.38186017623237,21.46259346653181,17.889921678960977
3,86.73913210330925,26.290137741177304,20.90761049592661
4,86.73913210330925,29.94669548933788,21.23311381340288
5,86.73913210330925,29.9491762175866,22.4969839181656
6,86.85177175158262,33.87318755577253,24.01415501865
7,87.01451852721773,36.74808121700428,26.39445362490456
8,87.01451852721773,38.29018873791543,26.929320587350745
9,87.01451852721773,41.79507119217334,28.35734173059393
10,87.01451852721773,45.57786017894036,29.13738008567114
11,88.53493570604749,48.38889286371734,28.737216461226907
12,88.53493570604749,49.40344678264007,27.552950767199054
13,88.53493570604749,52.56330957767241,28.51816197767784
14,90.22939087985289,50.66419934145473,29.28505177901272
15,90.22939087985289,56.3707655533087,28.941470299802788
16,90.22939087985289,61.45049263188538,27.30656894184376
17,90.28939087985286,64.53144393130715,26.26029290905869
18,90.28939087985286,66.00814530339427,25.33809063251452
19,90.28939087985286,67.16808572459898,25.40192456382477
20,90.28939087985286,69.1837000181789,24.29613276812339
21,90.28939087985286,66.88244131024425,26.73764757471672
22,90.28939087985286,67.83305787210428,24.248900220260545
23,90.28939087985286,65.45682655410462,25.56471096030788
24,90.28939087985286,65.41347548877746,26.12190078680377
25,90.28939087985286,64.20737948417207,28.24243991506226
26,90.28939087985286,65.11276514296442,26.13233725145191
27,90.28939087985286,68.06861558650174,24.5913302054386
28,90.28939087985286,69.88803723348768,23.7754448833684
29,90.28939087985286,72.2729172253402,21.089696688619732
