gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,66.01354799471557,0.1628512741491959,15.122969440065855,-5.802118375377063,39.013547994715566,34.011038583110135,-2.480263094356419,8.377279815047066,-5.805134968916488,19.01103858311013
1,66.01354799471557,5.848279090406958,20.278597837333123,-5.752572638825633,48.013547994715566,34.011038583110135,0.6850930466194604,11.223037947200808,-5.755742213586912,24.01103858311013
2,94.79051384715858,17.891447315662337,24.62421821175591,-5.752572638825633,48.52798012787776,94.78506424239102,8.248345037274564,17.36097864218443,-5.755742213586912,24.325303687304004
3,94.79051384715858,34.0394858291896,22.67902150985461,-5.731223425766177,58.07692938391048,94.78506424239102,18.076575189781185,18.851382733362858,-5.734461323732204,29.67397153631994
4,94.85250552318657,45.37186788335134,19.74822826999047,2.8183809423140613,94.7853367226294,94.84670840550224,25.249046943499724,19.50708159552123,-0.9848982673952926,94.77991517829514
5,94.85250552318657,46.05236514067919,16.223649468937218,21.26925504678463,76.24565841829461,94.84670840550224,25.169639265627865,17.251122676698845,9.266015627420131,42.042307995693065
6,94.9001335721758,49.777472443440764,21.350581148277595,11.348673845806866,94.81993090338185,94.89405452609942,29.93449823679413,24.14962500356437,3.745443045992751,94.8143189047264
7,94.9001335721758,50.53273920112284,19.42330747341388,20.804648963036133,94.7916188645086,94.89405452609942,29.00987438988328,20.984060842613097,9.001456288567647,94.78616318772696
8,94.9001335721758,53.57444086974643,18.3160629819932,30.04377553182749,94.81849814059385,94.89405452609942,30.691613388181803,20.3872941648252,14.041189204665525,94.81289430693668
9,94.9001335721758,52.15949607037877,21.13660858332588,20.320506549317944,94.79189897728604,94.89405452609942,29.972637882515777,21.370588034754245,8.717420988092888,94.78644173997942
10,94.9001335721758,54.97057691011265,20.20806952470835,20.19422363851326,94.78700354364275,94.89405452609942,31.50363131357588,20.682121938791013,8.591465825028248,94.78157278866098
11,94.9001335721758,58.09526656704851,20.3120485053948,21.25379680945985,94.78506424239102,94.89405452609942,33.83627073134121,21.22322270843585,9.250607014091749,94.77964417492169
12,94.9001335721758,57.97879482698467,20.84850637749139,29.28717968540688,94.7884363064308,94.89405452609942,33.71983483234883,21.390998662064707,13.684192118804528,94.7829973864507
13,94.9001335721758,62.23958124290278,18.794059979945533,30.254041052812138,94.854886925636,94.89405452609942,37.33253951262968,22.102006617199013,14.250850220541029,94.84907571153208
14,94.9001335721758,60.11436633894125,21.17013414218826,21.21959880539709,94.9001335721758,94.89405452609942,35.91132305763724,22.78624664530256,9.216513865018422,94.89405452609942
15,94.9001335721758,64.65858830462861,18.159192760883712,39.01206273699487,94.9001335721758,94.89405452609942,39.06355872035405,22.200467714565352,19.00955699322982,94.89405452609942
16,94.91859563501554,69.69158889330093,15.662041722498971,47.55137072538371,94.9001335721758,94.91240366476762,42.8564222763663,22.076483121006262,23.748889059817024,94.89405452609942
17,94.91859563501554,71.58870543763264,17.63676505971834,38.62785313798998,94.9001335721758,94.91240366476762,45.86544992328157,24.39055394782176,18.825175812807903,94.89405452609942
18,94.91859563501554,73.60574846449408,18.159708943458888,48.19788162462294,94.9001335721758,94.91240366476762,49.42635160010402,26.31101823753626,24.19486503108352,94.89405452609942
19,94.91859563501554,76.42654314454427,15.940664159399534,56.06250989038911,94.9001335721758,94.91240366476762,52.96699792958053,26.595144399536284,28.260965076602886,94.89405452609942
20,94.91859563501554,78.81000606189532,14.692534868276573,57.18955216539252,94.90043938352667,94.91240366476762,56.6542551995742,27.106664521484984,29.18655868753981,94.89435847840323
21,94.91859563501554,78.4983743758183,16.921145718151497,57.013889197753805,94.91271326328004,94.91240366476762,58.85439502812417,29.320200511980826,29.01137842117972,94.90655749247196
22,94.91859563501554,83.42454018607027,15.71270892229929,57.18422024183736,94.91859563501554,94.91240366476762,67.44411995582011,28.974522865119265,29.181239667361886,94.91240366476762
23,94.91859563501554,85.97686486584473,13.966733941604632,66.19788162462294,94.91859563501554,94.91240366476762,71.65228918814199,27.624348596219324,34.19486503108351,94.91240366476762
24,94.91859563501554,85.75713084930996,13.45951269340321,66.19788162462294,94.91859563501554,94.91240366476762,71.34454928274849,27.77437241747842,34.19486503108351,94.91240366476762
25,94.91859563501554,85.31404309763094,13.320717329188565,66.1915080862223,94.91859563501554,94.91240366476762,71.49341617603109,28.15257566587444,34.188509520156934,94.91240366476762
26,94.91859563501554,79.31366314875058,19.748199550308343,48.013547994715566,94.91859563501554,94.91240366476762,64.09324650962901,31.42063519282203,24.01103858311013,94.91240366476762
27,94.91859563501554,85.58904935268956,12.575886649255647,65.74788162462293,94.91859563501554,94.91240366476762,72.00035287397387,27.96364259908441,33.94486503108351,94.91240366476762
28,94.91859563501554,87.85078580207077,11.03542582143228,66.22855887686998,94.91859563501554,94.91240366476762,77.05382404595248,26.28329611020602,34.22544845445559,94.91240366476762
29,94.91859563501554,86.64928859875506,12.648500429033577,65.57429853882329,94.91859563501554,94.91240366476762,75.14842437335534,27.294856028365725,33.77175907667741,94.91240366476762
