gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced,best_default_explore,mean_default_explore,std_default_explore,Q5_default_explore,Q95_default_explore,best_balanced_explore,mean_balanced_explore,std_balanced_explore,Q5_balanced_explore,Q95_balanced_explore
0,19.31905937210788,-3.932509382735027,5.552567069491054,-6.965024046253773,5.7919084515851935,41.57024757207123,7.620595747250157,17.709800689836502,-11.246580082749729,33.95750882936548,19.28378180758613,-2.769085003728081,6.730211202083417,-6.9394110480941125,13.949139791352904,40.278738964355554,6.826899933444498,18.07908206758849,-11.952396320584633,36.79731385435177
1,19.31905937210788,-1.7210256156570454,6.155083010141082,-6.143610372821066,11.30561989826007,41.57024757207123,17.124055908804813,16.23093860072867,-5.292795201946219,34.189800182727964,24.23135602485464,0.2095042374596119,7.229179887391289,-6.066643955628335,13.801356497022148,40.186128124310585,15.38679088674463,16.39936342784133,-8.578841859464452,33.50934409060001
2,19.31905937210788,1.570945216649861,6.9267398782984335,-5.849215169058789,18.133108006113247,41.57024757207123,23.92712953470486,12.015823549966248,-3.82596923738709,40.05866430179565,24.23135602485464,4.441829921307628,7.915010597785075,-6.016639540512012,13.949139791352904,40.186128124310585,23.587787285610016,12.650490748220202,-6.423100780254313,35.0463749849815
3,23.20762818029825,5.861243317057374,8.634354628269092,-3.0203194893956216,21.065443472328813,42.82864518043418,30.271099330132344,7.596080121887167,15.628818590755932,41.26257618866764,25.81243742731023,8.674413784290529,7.841746520617525,-3.130984138913238,24.23135602485464,40.186128124310585,29.309523614792127,7.587669817651642,20.33641339483656,38.37755329068356
4,24.162049293457585,11.000462313356966,7.862606339700012,-0.8751199940877898,22.06689741766949,43.78833084352975,34.243343494526044,7.52081757062977,18.423113824673187,42.84587042099064,26.45997317524376,13.788300053958428,6.545693134863837,0.8080613740844773,25.39017233687986,44.13401530115019,33.00196724618781,4.98565563483978,24.58457031376444,40.27079760302547
5,24.162049293457585,16.310695530453007,6.27203813438153,3.989890685290784,23.196691841052456,43.78833084352975,38.02142467450625,5.24952525401073,25.76476940016866,43.01841910818281,26.45997317524376,16.777842962569256,5.042273944150599,9.46964566881313,26.050844552086584,45.3391951865886,35.45582390252535,4.48048270259874,28.724189839403014,42.69957652076896
6,24.222933225679206,17.66148548702781,5.030460454068485,8.374059531187047,23.73255979253588,44.6048443214692,39.51849196185418,3.143554494671573,35.17198736762997,43.7182702213912,28.33443065535491,19.138410059957017,5.987934488765752,10.653510726173678,27.31852640278673,45.3391951865886,36.672006100843326,4.474004393489115,28.640589410891405,43.56862524646378
7,24.22341664136349,17.67809641159313,5.421203680239575,8.116823531161517,24.191081438214333,44.598996378566966,39.44592114564487,3.5087449440025043,35.3557248711819,44.03673296132506,28.33443065535491,18.902455566236693,6.627371261290008,10.856007022477648,28.19337743002188,45.3391951865886,36.42520772416991,4.533986904171864,28.841781199673687,43.632200249024855
8,27.64331205940041,19.85786000255161,3.702784107565465,14.230624375997628,25.270252799257257,45.65204465702111,40.403397232632365,2.424691662426308,36.98631259184211,44.01915400917535,32.45791232787039,21.713052178252205,5.468555198698635,13.789595805218967,29.959371446969254,45.3391951865886,38.00013333450288,3.5557137560037195,32.35172127387702,43.63894342045665
9,28.466402642012568,22.003744785276155,3.416056216659281,15.509079708877524,27.66540438838799,47.983062890974246,41.17755144602345,2.618935862765975,37.89805989455667,44.19213700340838,32.77373761561506,23.310350475817472,4.891801150224861,13.795041841522554,30.3885708696843,45.25150807181626,38.672017388971625,2.908222643921824,34.08174785551449,44.13401530115019
10,30.83432403929237,22.204333474992364,5.271532192992895,14.83596280698478,29.3083276865115,47.983062890974246,41.11330391343406,3.1105412434557587,36.64869745995895,44.19213700340838,41.90240612446387,23.332181340704143,6.685379101389725,13.279115088988531,32.513245667461405,47.45376607842149,38.29231726912085,4.067221862610015,31.50660660191695,44.37322023636925
11,31.74528089483706,21.53973279070858,7.822563977415927,4.398157397484214,30.83432403929237,47.983062890974246,40.38820305568909,4.370921973253568,30.7064327673365,44.255678798459016,41.90240612446387,22.78815777522256,8.777137127610938,10.431301550442448,38.322318793604,47.65794095403268,37.92138992360764,7.211352266710318,32.12631259999488,44.13401530115019
12,35.39643982993284,25.376468081350417,4.579497955323927,18.6787715852739,32.740536091288625,45.51222129270377,41.425243489091166,2.2912282753671334,38.42558674778083,44.255678798459016,41.90240612446387,22.37426312264703,8.184661500104106,8.079642991982265,33.418843002208746,47.65794095403268,37.64588194618725,7.182574055089837,31.38117488473214,44.13401530115019
13,36.097850829743486,25.276198562460664,6.6768768452797485,15.955887133638626,35.39643982993284,45.51222129270377,41.04099024118419,2.92640628703651,35.93301952372595,44.90029042840065,41.90240612446387,23.871818892295305,6.370525927133263,13.756523595218438,33.40191388831808,47.65794095403268,39.145138733107615,3.4896343833878825,32.48731995317452,44.1487728026192
