gen,best,mean,std,best_log,mean_log,std_log
0,89.3987417894553,68.40955980804252,32.26361856392524,89.3987417894553,68.40955980804252,32.26361856392524
1,90.65758228947824,84.14246928662833,14.548623462057527,90.65758228947824,84.14246928662833,14.548623462057527
2,90.65758228947824,86.5484319338256,7.318640435558138,90.65758228947824,86.5484319338256,7.318640435558138
3,90.65758228947824,86.55956879036299,7.315221259921663,90.65758228947824,86.55956879036299,7.315221259921663
4,90.96322890233346,87.68381105255752,1.1549149521532345,90.96322890233346,87.68381105255752,1.1549149521532345
5,90.96322890233346,85.95381724767887,9.393262486922676,90.96322890233346,85.95381724767887,9.393262486922676
6,90.96322890233346,86.6464493034542,7.192239887890076,90.96322890233346,86.6464493034542,7.192239887890076
7,90.96322890233346,85.05099589575306,11.543031219801994,90.96322890233346,85.05099589575306,11.543031219801994
8,90.96322890233346,83.39321045663897,15.327153710419053,90.96322890233346,83.39321045663897,15.327153710419053
9,90.96322890233346,84.97419231462655,11.483554871780743,90.96322890233346,84.97419231462655,11.483554871780743
10,90.96322890233346,87.53885978889042,4.810751748641555,90.96322890233346,87.53885978889042,4.810751748641555
11,90.96322890233346,87.40899721683118,6.59612890030019,90.96322890233346,87.40899721683118,6.59612890030019
12,90.96322890233346,86.62068356744062,8.70666831402151,90.96322890233346,86.62068356744062,8.70666831402151
13,90.96322890233346,87.02833473329528,7.8755728917048256,90.96322890233346,87.02833473329528,7.8755728917048256
14,90.96322890233346,86.51278914909024,10.27788353157946,90.96322890233346,86.51278914909024,10.27788353157946
15,90.96322890233346,84.98316954603546,13.88438174461038,90.96322890233346,84.98316954603546,13.88438174461038
16,90.96322890233346,86.5223723761121,10.614252150657238,90.96322890233346,86.5223723761121,10.614252150657238
17,90.96322890233346,87.7308241579109,3.3497415565642257,90.96322890233346,87.7308241579109,3.3497415565642257
18,90.96322890233346,87.47240243817099,8.52260156937994,90.96322890233346,87.47240243817099,8.52260156937994
19,90.96322890233346,88.03546343579676,1.7739096593317905,90.96322890233346,88.03546343579676,1.7739096593317905
20,90.96322890233346,88.13334903971007,1.8391357351735549,90.96322890233346,88.13334903971007,1.8391357351735549
21,90.96322890233346,87.38460257127302,7.485787834575183,90.96322890233346,87.38460257127302,7.485787834575183
22,90.96322890233346,87.6937771382024,4.39322046552668,90.96322890233346,87.6937771382024,4.39322046552668
23,90.96322890233346,86.81655971157399,9.600385508691325,90.96322890233346,86.81655971157399,9.600385508691325
24,90.96322890233346,86.00941515628676,10.921356414980696,90.96322890233346,86.00941515628676,10.921356414980696
25,90.96322890233346,86.83426216571908,8.135478310433397,90.96322890233346,86.83426216571908,8.135478310433397
26,90.96322890233346,87.5513188043998,5.208247220040062,90.96322890233346,87.5513188043998,5.208247220040062
27,90.96322890233346,87.58524055867545,5.018626386800035,90.96322890233346,87.58524055867545,5.018626386800035
28,90.96322890233346,87.40977069690528,5.183665377391207,90.96322890233346,87.40977069690528,5.183665377391207
29,90.96322890233346,87.30238227458054,6.913084242885589,90.96322890233346,87.30238227458054,6.913084242885589
