gen,best,mean,std
0,47.89520676758502,15.974034137434948,11.452205331421606
1,47.89520676758502,21.084258197954394,7.2552651704731055
2,47.89520676758502,21.930607986421567,5.730817834229821
3,47.89520676758502,22.34435267974872,4.733048548050372
4,47.895206767585016,23.076306206574817,5.640447799336759
5,47.895206767585016,24.12092482859818,6.312425873230154
6,47.895206767585016,23.847034747958507,6.407663988964218
7,47.895206767585016,24.51965159655908,7.043413838902844
8,47.895206767585016,24.38386668072255,6.811872913884355
9,47.895206767585016,24.12987626797536,7.289997166689062
10,47.895206767585016,24.040980093937783,6.810163485752369
11,47.895206767585016,23.55528957924984,6.89176925267687
12,47.895206767585016,24.25484079223796,5.767781944033268
13,47.895206767585016,24.53633620293278,5.750425076073238
14,47.895206767585016,23.740884185364934,5.51051892777314
15,47.895206767585016,23.96411532185089,5.971403128806298
16,47.895206767585016,23.83218695572417,7.018086318491448
17,47.895206767585016,24.33325637805538,7.583360248414858
18,47.895206767585016,24.70884612167053,6.688173682349625
19,48.31982739098293,24.79403970547844,7.272976287339079
20,48.31982739098293,24.829870763460534,8.469158376493846
21,48.31982739098293,25.545633328062223,8.277464128606344
22,48.31982739098293,25.452578477602817,8.999912955858647
23,48.31982739098293,27.36080557301806,10.211425604952662
24,48.31982739098293,28.426450534670213,10.84843912697947
25,48.31982739098293,28.98129133246428,12.02824744124356
26,48.31982739098293,29.25419401626537,12.039264848778632
27,48.31982739098293,28.906088871503048,11.448666285882435
28,48.31982739098293,32.11962418162841,12.7808901243798
29,48.31982739098293,31.85957134034029,12.773437118580384
30,48.31982739098293,33.19609418160296,12.82477588060261
31,48.31982739098293,33.09988301349645,13.010748071355543
32,48.31982739098293,32.57103571060745,12.98178716377006
33,48.31982739098293,33.46929032566837,12.979418170499454
34,48.31982739098293,33.46929032566837,12.979418170499452
35,48.31982739098293,33.55018810800486,13.285532463979369
36,48.31982739098293,33.45694753979577,13.340335664358763
37,48.31982739098293,32.91997860741856,13.40296768378599
38,48.31982739098293,31.39472182687949,12.61913579375311
39,48.31982739098293,32.473797544571084,13.441998071704663
40,48.31982739098293,34.50490821430164,12.951991664206066
41,48.31982739098293,36.48000418604234,12.840585198315992
42,48.31982739098293,36.57429352525354,13.477519622124635
43,48.31982739098293,34.42717805683246,13.191524356344988
44,48.31982739098293,34.26500968335997,13.695784810659893
45,48.31982739098293,34.25395008254646,13.060493114230743
46,48.31982739098293,35.23697323506731,13.461342664362215
47,48.31982739098293,35.59327710801186,12.854587128497828
48,48.31982739098293,34.98676960868104,12.677596544765109
49,48.31982739098293,34.884323006685605,12.87735383311309
50,48.31982739098293,34.62673337590322,12.687972612520058
51,48.31982739098293,33.01378031656489,13.29722785548184
52,48.31982739098293,32.83152556295361,12.545967922781964
53,48.31982739098293,34.62143310654839,13.227558429838636
54,48.31982739098293,34.52407607127044,13.056882406891802
55,48.31982739098293,33.89434075244912,12.850432315569613
56,48.31982739098293,34.166361481305536,13.112524559727085
57,48.31982739098293,35.23566165133593,13.698634812008237
58,48.31982739098293,35.94087432715805,13.20553441658207
59,48.31982739098293,37.09489679600768,12.937375910925372
60,48.31982739098293,37.18121352959679,12.862586549061003
61,48.31982739098293,34.34803664870665,13.341493553047092
62,48.31982739098293,34.07166145514782,13.338201500274163
63,48.31982739098293,35.04699304094518,13.071113242776615
64,48.31982739098293,35.136101951836274,12.758752841088032
65,48.31982739098293,37.09794879203885,12.432545810097483
66,48.31982739098293,37.1812135295968,12.546965001620396
67,48.31982739098293,35.93303500898765,12.844340851936126
68,48.31982739098293,35.23076501305618,13.11787623662133
69,48.31982739098293,34.78522045860073,12.700898870586707
70,48.31982739098293,35.943219354785384,12.777454056797167
