gen,best_default,mean_default,std_default
0,48.02364909070207,0.7364152918580015,15.785416107726505
1,56.95026654476804,6.23121839760518,20.370389818696065
2,65.95026654476804,20.66694476498521,24.395232146594594
3,65.95026654476804,34.00109943030838,20.712307690718387
4,65.95026654476804,43.20701275317101,14.641624094252736
5,65.99364684039827,48.57253526975055,7.477601950568113
6,65.99364684039827,48.13815594438315,8.922213779306919
7,75.12506926914797,50.21434593465791,7.18600593448379
8,75.12506926914797,50.21252083026872,9.076686385132351
9,75.12506926914797,51.65628696765562,7.392017544183362
10,75.12506926914797,52.280899780661855,7.964528824949593
11,75.12506926914797,51.46882316589533,9.215644512447266
12,75.12506926914797,51.64354114176802,8.0207200550575
13,75.12506926914797,51.55240072695514,8.502350481660203
14,75.12506926914797,50.03166270915524,13.696551009080252
15,75.12506926914797,51.01603918974466,9.158254952661892
16,75.12506926914797,51.921455306478585,10.482303364711983
17,75.15356122494228,51.66049746920672,8.978251987721613
18,75.15356122494228,51.48426977603757,9.743697527355735
19,75.15356122494228,52.21269762003634,9.956913743700431
20,75.15356122494228,50.41311405951524,12.15570586994722
21,75.15356122494228,51.309400055230654,10.214126195253924
22,75.15356122494228,50.58140289447304,9.599164235139687
23,75.15356122494228,51.12703086800142,9.18614953416514
24,75.15356122494228,52.20468436773432,8.75110175366517
25,75.15356122494228,51.31350386109735,10.960492071272183
26,75.15356122494228,50.06294520043028,11.325693463095028
27,75.15356122494228,51.59056211648578,10.836184401332549
28,75.15356122494228,52.13057134864027,10.265049696531094
29,75.15356122494228,53.13031250241612,9.526716633485636
