gen,best,mean,std
0,86.33310919110122,38.05999940350849,30.40671059766328
1,87.49946360978407,79.69682734763967,15.704739157227904
2,87.49946360978407,85.26203170226847,1.1359645122942812
3,87.52181642289808,85.992040236926,0.8338289905884432
4,87.52181642289808,86.3625706270552,0.1742408608125817
5,88.34079825644693,86.47887652186095,0.4347869945311813
6,88.34079825644693,86.60196290709831,0.5480663085828276
7,88.34079825644693,86.70375559245505,0.6120789714402074
8,88.34079825644693,86.83097434586769,0.6541504741034883
9,88.34079825644693,86.88156516622261,0.6632369423562852
10,88.34079825644693,86.918436265249,0.6708252232521652
11,88.34079825644693,87.00420475759573,0.6648291870388996
12,88.34079825644693,87.07632130376754,0.6617883204581708
13,88.34079825644693,87.16467689409419,0.6456320681067289
14,88.34079825644693,87.28153266643265,0.6013341798214673
