gen,best_default,mean_default,std_default
0,85.95289246928256,33.868967457724644,30.70797165692779
1,88.36896154643432,55.02668160144366,23.09259021142298
2,89.39092827018352,64.17194579704686,18.4362641237556
3,89.39092827018352,70.62543561570583,12.567534545493388
4,89.39092827018352,72.80276486049678,13.600156585907207
5,89.45550493721095,76.09089444435659,10.455812926699751
6,89.58936197187238,76.76501217224362,11.868961647704856
7,90.17758228947824,76.18552168201477,10.72123266792569
8,90.17758228947824,77.11259432231799,9.332697857530848
9,90.17758228947824,77.12882534395096,8.164012208293645
10,90.17758228947824,76.19619041044704,10.305387469210908
11,90.17758228947824,76.68603186657789,9.01892837963426
12,90.17758228947824,76.01383501463992,7.984728213547801
13,90.17758228947824,75.4688601540339,10.651037830346846
14,90.17758228947824,75.09595370405174,7.901427494486271
15,90.17758228947824,76.02211353050313,8.601936825736656
16,90.60936197187236,76.6985054422695,8.292024347481403
17,90.60936197187236,75.89611860351204,8.8263577709926
18,90.60936197187236,75.55725379265702,10.61710826688602
19,90.60936197187236,75.80837492939384,11.589861946457972
20,90.60936197187236,76.12058528364462,11.51582658505917
21,90.60936197187236,76.80210226521191,9.48628709431963
22,90.60936197187236,77.55343400090948,10.379602188761169
23,90.60936197187236,78.17280914998307,9.31394118841594
24,90.60936197187236,79.13496315311377,9.29125032300153
25,90.60936197187236,79.34979114649569,9.286266288369154
26,90.60936197187236,76.22834716783701,13.446379394962635
27,90.60936197187236,76.61600724260154,12.27534454665709
28,90.60936197187236,75.40676235552593,13.455509331770234
29,90.60936197187236,76.26817068786478,11.05750978026489
