gen,best_default,mean_default,std_default,Q5_default,Q95_default,best_balanced,mean_balanced,std_balanced,Q5_balanced,Q95_balanced
0,91.91859563501554,31.356139602188723,39.611925178272536,-5.796057750765372,91.49061166337202,79.91240366476762,20.10438037040733,30.535897446245944,-5.799092654460526,79.48657125383502
1,93.20278772623588,59.53873422645558,35.22615086079157,-5.768320995793772,91.83110856426993,85.99605369405454,41.022583059598766,30.22391411718964,-5.771441123130016,81.4372328364982
2,93.20278772623588,81.47411872408557,19.0935441395794,39.274649064451374,92.46848078884346,85.99605369405454,61.33342231379069,22.07387984388207,19.27139207065316,83.47415662961964
3,93.40956741322128,90.68802520938536,3.96029829813693,87.62951600496184,93.20278772623588,87.00278772623588,76.29896705913639,10.82455504422863,58.823850267426174,85.99605369405454
4,93.40956741322128,92.31687305919856,1.0319057968283272,90.77237888630935,93.40956741322128,87.00278772623588,82.38320955846122,4.646806595274877,76.36878821817864,87.00278772623588
5,93.40956741322128,92.08973617973734,8.031166201459744,91.49061166337202,93.40956741322128,87.00278772623588,83.93139209406588,8.595437750062716,79.48657125383502,87.00278772623588
6,93.40956741322128,93.08078814182764,0.7924848929587073,92.64800170400224,93.40956741322128,87.00278772623588,85.39406008477614,3.977281945433779,83.00088675126068,87.00278772623588
7,93.40956741322128,92.95617534491764,1.9524868928604628,92.78916888822134,93.40956741322128,87.00278772623588,85.15742905695663,6.533575095897917,83.94245847608964,87.00278772623588
8,93.40956741322128,92.99595548911338,1.2955622755415586,88.07274631484279,93.40956741322128,87.00278772623588,84.94919752066465,6.5001167685511785,60.06552606686931,87.00278772623588
9,93.40956741322128,93.244572533909,0.7660406236372908,93.19278772623588,93.40956741322128,87.00278772623588,86.18179939235901,3.84658137929165,85.94605369405454,87.00278772623588
10,93.40956741322128,93.34592801475804,0.5326387646709084,93.399228428872,93.40956741322128,87.00278772623588,86.68314574835495,2.687873672651653,86.95245102462681,87.00278772623588
11,93.40956741322128,92.50678464736912,7.233370585804929,93.19278772623588,93.40956741322128,87.00278772623588,85.32404584289279,9.02075932144118,85.94605369405454,87.00278772623588
12,93.40956741322128,93.21268605391312,0.9533222792783193,93.20278772623588,93.40956741322128,87.00278772623588,86.0219123020523,4.766526494878434,85.99605369405454,87.00278772623588
13,93.40956741322128,92.99871747124956,1.396027013833994,88.07274631484279,93.40956741322128,87.00278772623588,84.94392958335524,7.007263602100855,60.06552606686931,87.00278772623588
14,93.40956741322128,93.2277246241485,0.9397712284900211,93.20278772623588,93.40956741322128,87.00278772623588,86.0929437273895,4.712687680535103,85.99605369405454,87.00278772623588
15,93.40956741322128,93.40543181948152,0.0289491561779539,93.40956741322128,93.40956741322128,87.00278772623588,86.98265304559226,0.1409427645053878,87.00278772623588,87.00278772623588
16,93.40956741322128,93.34536402261166,0.5585586616915648,93.40956741322128,93.40956741322128,87.00278772623588,86.68258570527045,2.7924918529442184,87.00278772623588,87.00278772623588
17,93.40956741322128,93.33495724139254,0.5584635420196871,93.20278772623588,93.40956741322128,87.00278772623588,86.63218166333958,2.791749872962149,85.99605369405454,87.00278772623588
18,93.40956741322128,93.2613182994774,0.76879239167371,93.00278772623588,93.40956741322128,87.00278772623588,86.26254013589896,3.860202225730629,84.99605369405454,87.00278772623588
19,93.40956741322128,92.3248614057608,8.990265078605177,92.99245102462682,93.40956741322128,87.00278772623588,85.20611608242106,9.860934203047018,84.945719244647,87.00278772623588
20,93.40956741322128,93.33088990107072,0.5608872141828952,93.20278772623588,93.40956741322128,87.00278772623588,86.61211477345807,2.803437693241406,85.99605369405454,87.00278772623588
21,93.40956741322128,91.35118990253238,13.887455703037864,93.20278772623588,93.40956741322128,87.00278772623588,84.77648791136076,13.235832814588235,85.99605369405454,87.00278772623588
22,93.40956741322128,93.27082164765284,0.7842877101658556,93.20278772623588,93.40956741322128,87.00278772623588,86.31204698269593,3.921049994806476,85.99605369405454,87.00278772623588
23,93.40956741322128,92.62498803797868,7.2036531858969335,93.40956741322128,93.40956741322128,87.00278772623588,85.91424786385825,8.20347174139867,87.00278772623588,87.00278772623588
24,93.40956741322128,93.28722842887196,0.7838182600934224,93.20278772623588,93.40956741322128,87.00278772623588,86.39245102462682,3.918949448671999,85.99605369405454,87.00278772623588
25,93.40956741322128,93.231228428872,0.9545329216998032,93.20278772623588,93.40956741322128,87.00278772623588,86.11245102462681,4.772627811630138,85.99605369405454,87.00278772623588
26,93.40956741322128,93.1608894445227,1.095120673384825,93.00278772623588,93.40956741322128,87.00278772623588,85.76211432301776,5.4756141398924,84.99605369405454,87.00278772623588
27,93.40956741322128,93.40749961635136,0.0205743190799297,93.40956741322128,93.40956741322128,87.00278772623588,86.99272038591407,0.1001687714528127,87.00278772623588,87.00278772623588
28,93.40956741322128,93.23536402261166,0.9548486340088824,93.20278772623588,93.40956741322128,87.00278772623588,86.13258570527044,4.774217616013562,85.99605369405454,87.00278772623588
29,93.40956741322127,93.16145389321711,1.0830030427665545,92.99245102462682,93.40956741322127,87.00278772623588,85.76267481654259,5.4268258401151765,84.945719244647,87.00278772623588
